       fs     200K     300K    400K     500K
    6650 0.06634 0.11729 0.24856 0.66581
    6700 0.06637 0.11737 0.24881  0.6666
    6750  0.0664 0.11744 0.24905  0.6674
    6800 0.06643 0.11752 0.24929 0.66819
    6850 0.06646  0.1176 0.24953 0.66898
    6900  0.0665 0.11768 0.24978 0.66978
    6950 0.06653 0.11776 0.25002 0.67057
    7000 0.06656 0.11784 0.25026 0.67136
    7050 0.06659 0.11792  0.2505 0.67215
    7100 0.06662   0.118 0.25074 0.67294
    7150 0.06665 0.11807 0.25098 0.67373
    7200 0.06668 0.11815 0.25122 0.67452
    7250 0.06671 0.11823 0.25147 0.67531
    7300 0.06675 0.11831 0.25171  0.6761
    7350 0.06678 0.11839 0.25195 0.67689
    7400 0.06681 0.11846 0.25219 0.67767
    7450 0.06684 0.11854 0.25243 0.67846
    7500 0.06687 0.11862 0.25267 0.67925
    7550  0.0669  0.1187 0.25291 0.68003
    7600 0.06693 0.11877 0.25315 0.68081
    7650 0.06696 0.11885 0.25339  0.6816
    7700   0.067 0.11893 0.25363 0.68238
    7750 0.06703 0.11901 0.25387 0.68317
    7800 0.06706 0.11908 0.25411 0.68395
    7850 0.06709 0.11916 0.25435 0.68473
    7900 0.06712 0.11924 0.25458 0.68551
    7950 0.06715 0.11931 0.25482 0.68629
    8000 0.06718 0.11939 0.25506 0.68707
    8050 0.06721 0.11947  0.2553 0.68785
    8100 0.06724 0.11955 0.25554 0.68863
    8150 0.06727 0.11962 0.25578 0.68941
    8200 0.06731  0.1197 0.25602 0.69018
    8250 0.06734 0.11977 0.25625 0.69096
    8300 0.06737 0.11985 0.25649 0.69174
    8350  0.0674 0.11993 0.25673 0.69251
    8400 0.06743    0.12 0.25697 0.69329
    8450 0.06746 0.12008 0.25721 0.69406
    8500 0.06749 0.12016 0.25744 0.69484
    8550 0.06752 0.12023 0.25768 0.69561
    8600 0.06755 0.12031 0.25792 0.69638
    8650 0.06758 0.12038 0.25816 0.69715
    8700 0.06762 0.12046 0.25839 0.69793
    8750 0.06765 0.12053 0.25863  0.6987
    8800 0.06768 0.12061 0.25887 0.69947
    8850 0.06771 0.12069  0.2591 0.70024
    8900 0.06774 0.12076 0.25934 0.70101
    8950 0.06777 0.12084 0.25957 0.70177
    9000  0.0678 0.12091 0.25981 0.70254
    9050 0.06783 0.12099 0.26005 0.70331
    9100 0.06786 0.12106 0.26028 0.70408
    9150 0.06789 0.12114 0.26052 0.70484
    9200 0.06792 0.12121 0.26075 0.70561
    9250 0.06795 0.12129 0.26099 0.70637
    9300 0.06798 0.12136 0.26122 0.70714
    9350 0.06802 0.12144 0.26146  0.7079
    9400 0.06805 0.12151 0.26169 0.70866
    9450 0.06808 0.12158 0.26193 0.70943
    9500 0.06811 0.12166 0.26216 0.71019
    9550 0.06814 0.12173  0.2624 0.71095
    9600 0.06817 0.12181 0.26263 0.71171
    9650  0.0682 0.12188 0.26287 0.71247
    9700 0.06823 0.12196  0.2631 0.71323
    9750 0.06826 0.12203 0.26334 0.71399
    9800 0.06829  0.1221 0.26357 0.71475
    9850 0.06832 0.12218  0.2638 0.71551
    9900 0.06835 0.12225 0.26404 0.71626
    9950 0.06838 0.12232 0.26427 0.71702
   10000 0.06841  0.1224  0.2645 0.71778
   10050 0.06844 0.12247 0.26474 0.71853
   10100 0.06847 0.12254 0.26497 0.71929
   10150 0.06851 0.12262  0.2652 0.72004
   10200 0.06854 0.12269 0.26544 0.72079
   10250 0.06857 0.12276 0.26567 0.72155
   10300  0.0686 0.12284  0.2659  0.7223
   10350 0.06863 0.12291 0.26613 0.72305
   10400 0.06866 0.12298 0.26637  0.7238
   10450 0.06869 0.12306  0.2666 0.72455
   10500 0.06872 0.12313 0.26683  0.7253
   10550 0.06875  0.1232 0.26706 0.72605
   10600 0.06878 0.12327 0.26729  0.7268
   10650 0.06881 0.12335 0.26753 0.72755
   10700 0.06884 0.12342 0.26776  0.7283
   10750 0.06887 0.12349 0.26799 0.72905
   10800  0.0689 0.12356 0.26822 0.72979
   10850 0.06893 0.12364 0.26845 0.73054
   10900 0.06896 0.12371 0.26868 0.73128
   10950 0.06899 0.12378 0.26891 0.73203
   11000 0.06902 0.12385 0.26914 0.73277
   11050 0.06905 0.12392 0.26937 0.73352
   11100 0.06908 0.12399  0.2696 0.73426
   11150 0.06911 0.12407 0.26983   0.735
   11200 0.06914 0.12414 0.27006 0.73574
   11250 0.06917 0.12421 0.27029 0.73649
   11300  0.0692 0.12428 0.27052 0.73723
   11350 0.06923 0.12435 0.27075 0.73797
   11400 0.06926 0.12442 0.27098 0.73871
   11450 0.06929 0.12449 0.27121 0.73944
   11500 0.06932 0.12457 0.27144 0.74018
   11550 0.06935 0.12464 0.27167 0.74092
   11600 0.06938 0.12471  0.2719 0.74166
   11650 0.06941 0.12478 0.27213 0.74239
   11700 0.06944 0.12485 0.27236 0.74313
   11750 0.06948 0.12492 0.27259 0.74387
   11800 0.06951 0.12499 0.27281  0.7446
   11850 0.06954 0.12506 0.27304 0.74533
   11900 0.06957 0.12513 0.27327 0.74607
   11950  0.0696  0.1252  0.2735  0.7468
   12000 0.06963 0.12527 0.27373 0.74753
   12050 0.06966 0.12534 0.27395 0.74826
   12100 0.06969 0.12541 0.27418   0.749
   12150 0.06972 0.12548 0.27441 0.74973
