fs      200K    300K    400K    500K
6950    0.04872 0.09143 0.14902 0.23169
7000    0.04872 0.09145 0.14905 0.23163
7050    0.04871 0.09148 0.14908 0.23158
7100    0.04871 0.0915  0.14911 0.23153
7150    0.04871 0.09153 0.14914 0.23147
7200    0.04871 0.09155 0.14917 0.23142
7250    0.04871 0.09157 0.1492  0.23137
7300    0.04871 0.0916  0.14923 0.23131
7350    0.04871 0.09162 0.14926 0.23126
7400    0.04871 0.09165 0.14929 0.23121
7450    0.04871 0.09167 0.14932 0.23116
7500    0.04871 0.09169 0.14935 0.23111
7550    0.04871 0.09172 0.14938 0.23105
7600    0.04871 0.09174 0.14941 0.231
7650    0.04871 0.09177 0.14944 0.23095
7700    0.0487  0.09179 0.14947 0.2309
7750    0.0487  0.09181 0.1495  0.23085
7800    0.0487  0.09184 0.14953 0.2308
7850    0.0487  0.09186 0.14956 0.23074
7900    0.0487  0.09189 0.14959 0.23069
7950    0.0487  0.09191 0.14962 0.23064
8000    0.0487  0.09193 0.14965 0.23059
8050    0.0487  0.09196 0.14968 0.23054
8100    0.0487  0.09198 0.14971 0.23049
8150    0.0487  0.09201 0.14974 0.23044
8200    0.0487  0.09203 0.14977 0.23039
8250    0.0487  0.09205 0.1498  0.23034
8300    0.0487  0.09208 0.14983 0.23029
8350    0.0487  0.0921  0.14985 0.23024
8400    0.0487  0.09213 0.14988 0.23019
8450    0.0487  0.09215 0.14991 0.23015
8500    0.0487  0.09217 0.14994 0.2301
8550    0.04869 0.0922  0.14997 0.23005
8600    0.04869 0.09222 0.15    0.23
8650    0.04869 0.09225 0.15003 0.22995
8700    0.04869 0.09227 0.15006 0.2299
8750    0.04869 0.09229 0.15009 0.22985
8800    0.04869 0.09232 0.15012 0.22981
8850    0.04869 0.09234 0.15014 0.22976
8900    0.04869 0.09237 0.15017 0.22971
8950    0.04869 0.09239 0.1502  0.22966
9000    0.04869 0.09241 0.15023 0.22962
9050    0.04869 0.09244 0.15026 0.22957
9100    0.04869 0.09246 0.15029 0.22952
9150    0.04869 0.09249 0.15032 0.22948
9200    0.04869 0.09251 0.15034 0.22943
9250    0.04869 0.09253 0.15037 0.22938
9300    0.04869 0.09256 0.1504  0.22934
9350    0.04869 0.09258 0.15043 0.22929
9400    0.04869 0.09261 0.15046 0.22924
9450    0.04869 0.09263 0.15048 0.2292
9500    0.04869 0.09265 0.15051 0.22915
9550    0.04869 0.09268 0.15054 0.22911
9600    0.04869 0.0927  0.15057 0.22906
9650    0.04869 0.09272 0.1506  0.22902
9700    0.04869 0.09275 0.15062 0.22897
9750    0.04869 0.09277 0.15065 0.22892
9800    0.04869 0.0928  0.15068 0.22888
9850    0.04869 0.09282 0.15071 0.22884
9900    0.04869 0.09284 0.15074 0.22879
9950    0.04869 0.09287 0.15076 0.22875
10000   0.04869 0.09289 0.15079 0.2287
10050   0.04869 0.09292 0.15082 0.22866
10100   0.04869 0.09294 0.15085 0.22861
10150   0.04869 0.09296 0.15087 0.22857
10200   0.04869 0.09299 0.1509  0.22853
10250   0.04869 0.09301 0.15093 0.22848
10300   0.04869 0.09304 0.15096 0.22844
10350   0.04869 0.09306 0.15098 0.2284
10400   0.04869 0.09308 0.15101 0.22835
10450   0.04869 0.09311 0.15104 0.22831
10500   0.04869 0.09313 0.15107 0.22827
10550   0.04869 0.09316 0.15109 0.22823
10600   0.04869 0.09318 0.15112 0.22818
10650   0.04869 0.0932  0.15115 0.22814
10700   0.04869 0.09323 0.15117 0.2281
10750   0.04869 0.09325 0.1512  0.22806
10800   0.04869 0.09328 0.15123 0.22802
10850   0.04869 0.0933  0.15126 0.22798
10900   0.04869 0.09332 0.15128 0.22793
10950   0.04869 0.09335 0.15131 0.22789
11000   0.04869 0.09337 0.15134 0.22785
11050   0.04869 0.09339 0.15136 0.22781
11100   0.04869 0.09342 0.15139 0.22777
11150   0.04869 0.09344 0.15142 0.22773
11200   0.04869 0.09347 0.15144 0.22769
11250   0.04869 0.09349 0.15147 0.22765
11300   0.04869 0.09351 0.1515  0.22761
11350   0.04869 0.09354 0.15152 0.22757
