fs        200K    300K    400K    500K
6950    0.03912 0.06162 0.08689 0.13793
7000    0.03913 0.06166 0.0869  0.13796
7050    0.03913 0.0617  0.08691 0.138
7100    0.03914 0.06174 0.08692 0.13804
7150    0.03914 0.06177 0.08694 0.13808
7200    0.03915 0.06181 0.08695 0.13811
7250    0.03915 0.06185 0.08696 0.13815
7300    0.03916 0.06188 0.08697 0.13819
7350    0.03916 0.06192 0.08698 0.13823
7400    0.03917 0.06196 0.087   0.13826
7450    0.03918 0.06199 0.08701 0.1383
7500    0.03918 0.06203 0.08702 0.13834
7550    0.03919 0.06207 0.08703 0.13838
7600    0.03919 0.0621  0.08705 0.13841
7650    0.0392  0.06214 0.08706 0.13845
7700    0.0392  0.06218 0.08707 0.13849
7750    0.03921 0.06221 0.08708 0.13853
7800    0.03921 0.06225 0.0871  0.13857
7850    0.03922 0.06229 0.08711 0.1386
7900    0.03922 0.06232 0.08712 0.13864
7950    0.03923 0.06236 0.08713 0.13868
8000    0.03924 0.0624  0.08715 0.13872
8050    0.03924 0.06243 0.08716 0.13876
8100    0.03925 0.06247 0.08717 0.1388
8150    0.03925 0.0625  0.08718 0.13883
8200    0.03926 0.06254 0.0872  0.13887
8250    0.03926 0.06258 0.08721 0.13891
8300    0.03927 0.06261 0.08722 0.13895
8350    0.03927 0.06265 0.08723 0.13899
8400    0.03928 0.06268 0.08725 0.13903
8450    0.03928 0.06272 0.08726 0.13906
8500    0.03929 0.06276 0.08727 0.1391
8550    0.0393  0.06279 0.08728 0.13914
8600    0.0393  0.06283 0.0873  0.13918
8650    0.03931 0.06286 0.08731 0.13922
8700    0.03931 0.0629  0.08732 0.13926
8750    0.03932 0.06294 0.08733 0.1393
8800    0.03932 0.06297 0.08735 0.13934
8850    0.03933 0.06301 0.08736 0.13937
8900    0.03933 0.06304 0.08737 0.13941
8950    0.03934 0.06308 0.08739 0.13945
9000    0.03935 0.06311 0.0874  0.13949
9050    0.03935 0.06315 0.08741 0.13953
9100    0.03936 0.06318 0.08742 0.13957
9150    0.03936 0.06322 0.08744 0.13961
9200    0.03937 0.06325 0.08745 0.13965
9250    0.03937 0.06329 0.08746 0.13969
9300    0.03938 0.06332 0.08747 0.13973
9350    0.03938 0.06336 0.08749 0.13977
9400    0.03939 0.0634  0.0875  0.13981
9450    0.0394  0.06343 0.08751 0.13984
9500    0.0394  0.06347 0.08753 0.13988
9550    0.03941 0.0635  0.08754 0.13992
9600    0.03941 0.06354 0.08755 0.13996
9650    0.03942 0.06357 0.08756 0.14
9700    0.03942 0.0636  0.08758 0.14004
9750    0.03943 0.06364 0.08759 0.14008
9800    0.03943 0.06367 0.0876  0.14012
9850    0.03944 0.06371 0.08762 0.14016
9900    0.03944 0.06374 0.08763 0.1402
9950    0.03945 0.06378 0.08764 0.14024
10000   0.03946 0.06381 0.08766 0.14028
10050   0.03946 0.06385 0.08767 0.14032
10100   0.03947 0.06388 0.08768 0.14036
10150   0.03947 0.06392 0.08769 0.1404
10200   0.03948 0.06395 0.08771 0.14044
10250   0.03948 0.06399 0.08772 0.14048
10300   0.03949 0.06402 0.08773 0.14052
10350   0.03949 0.06405 0.08775 0.14056
10400   0.0395  0.06409 0.08776 0.1406
10450   0.03951 0.06412 0.08777 0.14064
10500   0.03951 0.06416 0.08779 0.14068
10550   0.03952 0.06419 0.0878  0.14072
10600   0.03952 0.06422 0.08781 0.14076
10650   0.03953 0.06426 0.08783 0.1408
10700   0.03953 0.06429 0.08784 0.14084
10750   0.03954 0.06433 0.08785 0.14088
10800   0.03954 0.06436 0.08787 0.14093
10850   0.03955 0.06439 0.08788 0.14097
10900   0.03956 0.06443 0.08789 0.14101
10950   0.03956 0.06446 0.08791 0.14105
11000   0.03957 0.0645  0.08792 0.14109
11050   0.03957 0.06453 0.08793 0.14113
11100   0.03958 0.06456 0.08795 0.14117
11150   0.03958 0.0646  0.08796 0.14121
11200   0.03959 0.06463 0.08797 0.14125
11250   0.03959 0.06466 0.08799 0.14129
11300   0.0396  0.0647  0.088   0.14133
11350   0.03961 0.06473 0.08801 0.14137
11400   0.03961 0.06476 0.08803 0.14142
11450   0.03962 0.0648  0.08804 0.14146
11500   0.03962 0.06483 0.08805 0.1415
11550   0.03963 0.06486 0.08807 0.14154
11600   0.03963 0.0649  0.08808 0.14158
11650   0.03964 0.06493 0.08809 0.14162
11700   0.03964 0.06496 0.08811 0.14166
11750   0.03965 0.065   0.08812 0.1417
11800   0.03966 0.06503 0.08813 0.14175
11850   0.03966 0.06506 0.08815 0.14179
11900   0.03967 0.0651  0.08816 0.14183
11950   0.03967 0.06513 0.08817 0.14187
12000   0.03968 0.06516 0.08819 0.14191
12050   0.03968 0.06519 0.0882  0.14195
12100   0.03969 0.06523 0.08821 0.142
12150   0.03969 0.06526 0.08823 0.14204
12200   0.0397  0.06529 0.08824 0.14208
12250   0.03971 0.06533 0.08826 0.14212
12300   0.03971 0.06536 0.08827 0.14216
12350   0.03972 0.06539 0.08828 0.1422
12400   0.03972 0.06542 0.0883  0.14225
12450   0.03973 0.06546 0.08831 0.14229
12500   0.03973 0.06549 0.08832 0.14233
12550   0.03974 0.06552 0.08834 0.14237
12600   0.03975 0.06555 0.08835 0.14241
12650   0.03975 0.06559 0.08836 0.14246
12700   0.03976 0.06562 0.08838 0.1425
12750   0.03976 0.06565 0.08839 0.14254
12800   0.03977 0.06568 0.08841 0.14258
12850   0.03977 0.06571 0.08842 0.14263
12900   0.03978 0.06575 0.08843 0.14267
12950   0.03978 0.06578 0.08845 0.14271
13000   0.03979 0.06581 0.08846 0.14275
13050   0.0398  0.06584 0.08848 0.1428
13100   0.0398  0.06587 0.08849 0.14284
13150   0.03981 0.06591 0.0885  0.14288
13200   0.03981 0.06594 0.08852 0.14292
13250   0.03982 0.06597 0.08853 0.14297
13300   0.03982 0.066   0.08854 0.14301
13350   0.03983 0.06603 0.08856 0.14305
13400   0.03983 0.06606 0.08857 0.1431
13450   0.03984 0.0661  0.08859 0.14314
13500   0.03985 0.06613 0.0886  0.14318
13550   0.03985 0.06616 0.08861 0.14322
13600   0.03986 0.06619 0.08863 0.14327
13650   0.03986 0.06622 0.08864 0.14331
13700   0.03987 0.06625 0.08866 0.14335
13750   0.03987 0.06629 0.08867 0.1434
13800   0.03988 0.06632 0.08868 0.14344
13850   0.03989 0.06635 0.0887  0.14348
13900   0.03989 0.06638 0.08871 0.14353
13950   0.0399  0.06641 0.08873 0.14357
14000   0.0399  0.06644 0.08874 0.14361
14050   0.03991 0.06647 0.08876 0.14366
14100   0.03991 0.0665  0.08877 0.1437
14150   0.03992 0.06653 0.08878 0.14374
14200   0.03992 0.06657 0.0888  0.14379
14250   0.03993 0.0666  0.08881 0.14383
14300   0.03994 0.06663 0.08883 0.14387
14350   0.03994 0.06666 0.08884 0.14392
14400   0.03995 0.06669 0.08885 0.14396
14450   0.03995 0.06672 0.08887 0.144
14500   0.03996 0.06675 0.08888 0.14405
14550   0.03996 0.06678 0.0889  0.14409
14600   0.03997 0.06681 0.08891 0.14414
14650   0.03998 0.06684 0.08893 0.14418
14700   0.03998 0.06687 0.08894 0.14422
14750   0.03999 0.0669  0.08895 0.14427
14800   0.03999 0.06693 0.08897 0.14431
14850   0.04    0.06696 0.08898 0.14436
14900   0.04    0.06699 0.089   0.1444
14950   0.04001 0.06702 0.08901 0.14444
15000   0.04001 0.06706 0.08903 0.14449
15050   0.04002 0.06709 0.08904 0.14453
15100   0.04003 0.06712 0.08906 0.14458
15150   0.04003 0.06715 0.08907 0.14462
15200   0.04004 0.06718 0.08908 0.14467
15250   0.04004 0.06721 0.0891  0.14471
15300   0.04005 0.06724 0.08911 0.14475
15350   0.04005 0.06727 0.08913 0.1448
15400   0.04006 0.0673  0.08914 0.14484
15450   0.04007 0.06733 0.08916 0.14489
15500   0.04007 0.06736 0.08917 0.14493
15550   0.04008 0.06739 0.08919 0.14498
15600   0.04008 0.06742 0.0892  0.14502
15650   0.04009 0.06745 0.08921 0.14507
15700   0.04009 0.06747 0.08923 0.14511
15750   0.0401  0.0675  0.08924 0.14516
15800   0.04011 0.06753 0.08926 0.1452
15850   0.04011 0.06756 0.08927 0.14525
15900   0.04012 0.06759 0.08929 0.14529
15950   0.04012 0.06762 0.0893  0.14534
16000   0.04013 0.06765 0.08932 0.14538
16050   0.04013 0.06768 0.08933 0.14543
16100   0.04014 0.06771 0.08935 0.14547
16150   0.04015 0.06774 0.08936 0.14552
16200   0.04015 0.06777 0.08938 0.14556
16250   0.04016 0.0678  0.08939 0.14561
16300   0.04016 0.06783 0.08941 0.14565
16350   0.04017 0.06786 0.08942 0.1457
16400   0.04017 0.06789 0.08943 0.14574
16450   0.04018 0.06791 0.08945 0.14579
16500   0.04018 0.06794 0.08946 0.14584
16550   0.04019 0.06797 0.08948 0.14588
16600   0.0402  0.068   0.08949 0.14593
16650   0.0402  0.06803 0.08951 0.14597
16700   0.04021 0.06806 0.08952 0.14602
16750   0.04021 0.06809 0.08954 0.14606
16800   0.04022 0.06812 0.08955 0.14611
16850   0.04022 0.06815 0.08957 0.14615
16900   0.04023 0.06817 0.08958 0.1462
16950   0.04024 0.0682  0.0896  0.14625
17000   0.04024 0.06823 0.08961 0.14629
17050   0.04025 0.06826 0.08963 0.14634
17100   0.04025 0.06829 0.08964 0.14638
17150   0.04026 0.06832 0.08966 0.14643
17200   0.04026 0.06835 0.08967 0.14648
17250   0.04027 0.06837 0.08969 0.14652
17300   0.04028 0.0684  0.0897  0.14657
17350   0.04028 0.06843 0.08972 0.14662
17400   0.04029 0.06846 0.08973 0.14666
17450   0.04029 0.06849 0.08975 0.14671
17500   0.0403  0.06851 0.08976 0.14675
17550   0.0403  0.06854 0.08978 0.1468
17600   0.04031 0.06857 0.08979 0.14685
17650   0.04032 0.0686  0.08981 0.14689
17700   0.04032 0.06863 0.08982 0.14694
17750   0.04033 0.06866 0.08984 0.14699
17800   0.04033 0.06868 0.08985 0.14703
17850   0.04034 0.06871 0.08987 0.14708
17900   0.04034 0.06874 0.08988 0.14713
17950   0.04035 0.06877 0.0899  0.14717
18000   0.04036 0.06879 0.08991 0.14722
18050   0.04036 0.06882 0.08993 0.14727
18100   0.04037 0.06885 0.08995 0.14731
18150   0.04037 0.06888 0.08996 0.14736
18200   0.04038 0.0689  0.08998 0.14741
18250   0.04038 0.06893 0.08999 0.14746
18300   0.04039 0.06896 0.09001 0.1475
18350   0.0404  0.06899 0.09002 0.14755
18400   0.0404  0.06901 0.09004 0.1476
18450   0.04041 0.06904 0.09005 0.14764
18500   0.04041 0.06907 0.09007 0.14769
18550   0.04042 0.0691  0.09008 0.14774
18600   0.04042 0.06912 0.0901  0.14779
18650   0.04043 0.06915 0.09011 0.14783
18700   0.04044 0.06918 0.09013 0.14788
18750   0.04044 0.0692  0.09014 0.14793
18800   0.04045 0.06923 0.09016 0.14798
18850   0.04045 0.06926 0.09018 0.14802
18900   0.04046 0.06929 0.09019 0.14807
18950   0.04046 0.06931 0.09021 0.14812
19000   0.04047 0.06934 0.09022 0.14817
19050   0.04048 0.06937 0.09024 0.14821
19100   0.04048 0.06939 0.09025 0.14826
19150   0.04049 0.06942 0.09027 0.14831
19200   0.04049 0.06945 0.09028 0.14836
19250   0.0405  0.06947 0.0903  0.1484
19300   0.0405  0.0695  0.09032 0.14845
19350   0.04051 0.06953 0.09033 0.1485
19400   0.04052 0.06955 0.09035 0.14855
19450   0.04052 0.06958 0.09036 0.1486
19500   0.04053 0.06961 0.09038 0.14864
19550   0.04053 0.06963 0.09039 0.14869
19600   0.04054 0.06966 0.09041 0.14874
19650   0.04055 0.06968 0.09042 0.14879
19700   0.04055 0.06971 0.09044 0.14884
19750   0.04056 0.06974 0.09046 0.14889
19800   0.04056 0.06976 0.09047 0.14893
19850   0.04057 0.06979 0.09049 0.14898
19900   0.04057 0.06982 0.0905  0.14903
19950   0.04058 0.06984 0.09052 0.14908
20000   0.04059 0.06987 0.09054 0.14913
20050   0.04059 0.06989 0.09055 0.14918
20100   0.0406  0.06992 0.09057 0.14923
20150   0.0406  0.06994 0.09058 0.14927
20200   0.04061 0.06997 0.0906  0.14932
20250   0.04061 0.07    0.09061 0.14937
20300   0.04062 0.07002 0.09063 0.14942
20350   0.04063 0.07005 0.09065 0.14947
20400   0.04063 0.07007 0.09066 0.14952
20450   0.04064 0.0701  0.09068 0.14957
20500   0.04064 0.07012 0.09069 0.14962
20550   0.04065 0.07015 0.09071 0.14967
20600   0.04065 0.07018 0.09073 0.14971
20650   0.04066 0.0702  0.09074 0.14976
20700   0.04067 0.07023 0.09076 0.14981
20750   0.04067 0.07025 0.09077 0.14986
20800   0.04068 0.07028 0.09079 0.14991
20850   0.04068 0.0703  0.09081 0.14996
20900   0.04069 0.07033 0.09082 0.15001
20950   0.0407  0.07035 0.09084 0.15006
21000   0.0407  0.07038 0.09085 0.15011
21050   0.04071 0.0704  0.09087 0.15016
21100   0.04071 0.07043 0.09089 0.15021
21150   0.04072 0.07045 0.0909  0.15026
21200   0.04072 0.07048 0.09092 0.15031
21250   0.04073 0.0705  0.09093 0.15036
21300   0.04074 0.07053 0.09095 0.15041
21350   0.04074 0.07055 0.09097 0.15046
21400   0.04075 0.07058 0.09098 0.1505
21450   0.04075 0.0706  0.091   0.15055
21500   0.04076 0.07063 0.09101 0.1506
21550   0.04076 0.07065 0.09103 0.15065
21600   0.04077 0.07068 0.09105 0.1507
21650   0.04078 0.0707  0.09106 0.15075
21700   0.04078 0.07073 0.09108 0.1508
21750   0.04079 0.07075 0.0911  0.15085
21800   0.04079 0.07077 0.09111 0.1509
21850   0.0408  0.0708  0.09113 0.15095
21900   0.04081 0.07082 0.09114 0.151
21950   0.04081 0.07085 0.09116 0.15105
