fs      200K    300K    400K    500K
6950    0.03741 0.05317 0.07261 0.10124
7000    0.03741 0.05318 0.07267 0.10128
7050    0.03741 0.05319 0.07272 0.10132
7100    0.03741 0.0532  0.07278 0.10136
7150    0.03741 0.05321 0.07284 0.1014
7200    0.03741 0.05322 0.0729  0.10144
7250    0.03741 0.05323 0.07296 0.10148
7300    0.03741 0.05324 0.07302 0.10152
7350    0.03741 0.05325 0.07307 0.10156
7400    0.03741 0.05326 0.07313 0.1016
7450    0.03741 0.05327 0.07319 0.10164
7500    0.03742 0.05328 0.07325 0.10167
7550    0.03742 0.05329 0.0733  0.10171
7600    0.03742 0.0533  0.07336 0.10175
7650    0.03742 0.05331 0.07342 0.10179
7700    0.03742 0.05332 0.07348 0.10183
7750    0.03742 0.05333 0.07354 0.10187
7800    0.03742 0.05334 0.07359 0.10191
7850    0.03742 0.05335 0.07365 0.10195
7900    0.03742 0.05336 0.07371 0.10199
7950    0.03742 0.05337 0.07376 0.10203
8000    0.03742 0.05338 0.07382 0.10207
8050    0.03742 0.05339 0.07388 0.10211
8100    0.03743 0.0534  0.07394 0.10215
8150    0.03743 0.05341 0.07399 0.10219
8200    0.03743 0.05342 0.07405 0.10223
8250    0.03743 0.05343 0.07411 0.10227
8300    0.03743 0.05344 0.07416 0.10231
8350    0.03743 0.05345 0.07422 0.10235
8400    0.03743 0.05346 0.07428 0.10239
8450    0.03743 0.05347 0.07433 0.10243
8500    0.03743 0.05348 0.07439 0.10247
8550    0.03743 0.05349 0.07445 0.1025
8600    0.03743 0.0535  0.0745  0.10254
8650    0.03743 0.05351 0.07456 0.10258
8700    0.03744 0.05352 0.07462 0.10262
8750    0.03744 0.05352 0.07467 0.10266
8800    0.03744 0.05353 0.07473 0.1027
8850    0.03744 0.05354 0.07479 0.10274
8900    0.03744 0.05355 0.07484 0.10278
8950    0.03744 0.05356 0.0749  0.10282
9000    0.03744 0.05357 0.07495 0.10286
9050    0.03744 0.05358 0.07501 0.1029
9100    0.03744 0.05359 0.07507 0.10294
9150    0.03744 0.0536  0.07512 0.10298
9200    0.03744 0.05361 0.07518 0.10302
9250    0.03744 0.05362 0.07523 0.10306
9300    0.03745 0.05363 0.07529 0.1031
9350    0.03745 0.05364 0.07535 0.10314
9400    0.03745 0.05365 0.0754  0.10318
9450    0.03745 0.05366 0.07546 0.10322
9500    0.03745 0.05367 0.07551 0.10326
9550    0.03745 0.05368 0.07557 0.1033
9600    0.03745 0.05369 0.07562 0.10334
9650    0.03745 0.0537  0.07568 0.10338
9700    0.03745 0.05371 0.07573 0.10342
9750    0.03745 0.05372 0.07579 0.10346
9800    0.03745 0.05373 0.07584 0.1035
9850    0.03746 0.05374 0.0759  0.10354
9900    0.03746 0.05375 0.07595 0.10358
9950    0.03746 0.05376 0.07601 0.10362
10000   0.03746 0.05377 0.07606 0.10366
10050   0.03746 0.05378 0.07612 0.1037
10100   0.03746 0.05379 0.07617 0.10374
10150   0.03746 0.0538  0.07623 0.10378
10200   0.03746 0.05381 0.07628 0.10382
10250   0.03746 0.05382 0.07634 0.10386
10300   0.03746 0.05383 0.07639 0.1039
