	         200K	  300K	 400K	500K
0.524	0.21879	0.05116	0.11282	0.12692
0.528	0.17529	0.10789	0.14615	0.11256
0.532	0.19041	0.11951	0.14531	0.09759
0.536	0.20057	0.06593	0.17777	0.02347
0.54  	0.15048	0.04342	0.18525	0.05004
0.544	0.1417	0.0393	0.19934	0.12271
0.548	0.14086	0.07053	0.24305	0.10628
0.552	0.17546	0.10263	0.1851	0.07599
0.556	0.11845	0.07254	0.19353	0.0767
0.56  	0.15234	0.05296	0.19177	0.05634
0.564	0.13476	0.02777	0.18766	-0.02063
0.568	0.10305	0.03717	0.19543	0.01911
0.572	0.13323	0.0764	0.16376	0.1537
0.576	0.16405	0.07779	0.19622	0.08435
0.58  	0.14087	0.05483	0.22097	0.10153
0.584	0.10266	0.02759	0.189	0.1323
0.588	0.06615	0.04941	0.13326	0.12512
0.592	0.072	0.03357	0.17492	0.17569
0.596	0.08372	0.04075	0.13079	0.13018
0.6    	0.11108	0.05068	0.11496	0.11412
0.604	0.12666	0.00525	0.08431	0.172
0.608	0.14613	-0.0084	0.18011	0.12361
0.612	0.15891	9.84E-05	0.18645	0.13545
0.616	0.15965	-0.01022	0.19515	0.0542
0.62  	0.17386	0.03801	0.16357	0.14052
0.624	0.17902	0.01467	0.11307	0.13332
0.628	0.15921	0.01679	0.18589	0.17587
0.632	0.16841	0.04629	0.18676	0.10817
0.636	0.17961	0.07549	0.1755	0.12172
0.64  	0.19588	0.03925	0.19829	0.07038
0.644	0.20958	0.02132	0.22697	0.01783
0.648	0.20593	0.01304	0.2297	0.03546
0.652	0.22427	0.04531	0.20038	0.09008
0.656	0.22743	0.02712	0.22744	0.07461
0.66  	0.23798	0.06402	0.24803	0.0698
0.664	0.20476	0.05659	0.24923	0.09118
0.668	0.19115	0.05629	0.24207	0.07747
0.672	0.1799	0.01853	0.28358	0.08462
0.676	0.17089	0.03408	0.27189	0.04492
0.68  	0.16593	0.05324	0.28974	0.0977
0.684	0.19089	0.03346	0.27771	0.09717
0.688	0.18155	0.01917	0.25124	0.06109
0.692	0.17778	0.01789	0.24092	0.09362
0.696	0.18493	0.05537	0.25696	0.06097
0.7    	0.16677	0.01719	0.24593	0.12204
0.704	0.16058	0.03456	0.19068	0.09449
0.708	0.16943	0.00996	0.21897	0.11718
0.712	0.17278	0.05101	0.23795	0.13599
0.716	0.17876	0.02266	0.22269	0.15539
0.72  	0.17415	0.01097	0.19797	0.14117
0.724	0.1415	0.03565	0.22327	0.10817
0.728	0.15832	0.07518	0.23388	0.08503
0.732	0.18565	0.03509	0.22805	0.11276
0.736	0.17453	0.05095	0.20366	0.14533
0.74  	0.16344	0.03981	0.2789	0.13462
0.744	0.16023	0.05112	0.21772	0.11935
0.748	0.15276	0.06857	0.21325	0.13338
0.752	0.16298	0.04105	0.26242	0.16443
0.756	0.16148	0.09846	0.24331	0.16017
0.76  	0.13053	0.07898	0.22808	0.09385
0.764	0.15267	0.06519	0.19914	0.09971
0.768	0.13862	-0.00349	0.19062	0.07648
0.772	0.11471	-7.63E-04	0.19783	0.12773
0.776	0.12086	0.04699	0.24352	0.14281
0.78  	0.11476	0.04877	0.19011	0.13981
0.784	0.11485	-0.00898	0.26689	0.16364
0.788	0.1066	-0.02461	0.26121	0.1653
0.792	0.0736	-0.04691	0.23751	0.15998
0.796	0.069	-0.06395	0.24483	0.22069
0.8    	0.07718	-0.04559	0.23217	0.20077
0.804	0.023	-0.04497	0.21521	0.22199
0.808	0.00719	-0.02164	0.29219	0.17073
0.812	0.06429	-0.06398	0.19423	0.15738
0.816	0.05191	-0.03752	0.23444	0.13767
0.82  	0.03636	-0.03196	0.20871	0.18563
0.824	0.03412	-0.02539	0.21581	0.23424
0.828	7.30E-04	-0.03475	0.20643	0.23119
0.832	0.0178	-0.04953	0.21939	0.23952
0.836	0.02858	-0.03477	0.21662	0.24247
0.84  	0.0052	-0.04222	0.13397	0.24319
0.844	0.01042	-0.08916	0.16501	0.19946
0.848	-0.00436	-0.04467	0.18942	0.22535
0.852	-0.02582	-0.02073	0.2064	0.20333
0.856	-0.0283	-0.04948	0.21181	0.21888
0.86  	-0.02486	-0.05892	0.19461	0.28806
0.864	7.18E-04	-0.06013	0.19824	0.2502
0.868	-0.01374	-0.05657	0.23307	0.23975
0.872	-0.02909	-0.06293	0.20715	0.23578
0.876	-0.03775	-0.02128	0.16694	0.26785
0.88  	-0.02938	-0.03784	0.18271	0.22796
0.884	-0.0619	-0.07268	0.17331	0.23425
0.888	-0.03886	-0.08147	0.15572	0.26004
0.892	-0.057	-0.06516	0.20729	0.22456
0.896	-0.05397	-0.0992	0.17499	0.19336
0.9    	-0.07885	-0.09256	0.23606	0.25294
0.904	-0.0926	-0.07733	0.21826	0.2594
0.908	-0.09724	-0.12255	0.20605	0.22666
0.912	-0.11568	-0.10884	0.19431	0.19873
0.916	-0.10183	-0.12609	0.21453	0.18967
0.92  	-0.11372	-0.13726	0.21977	0.22153
0.924	-0.08188	-0.13154	0.22369	0.21815
0.928	-0.1145	-0.11963	0.21138	0.20198
0.932	-0.10153	-0.11325	0.24094	0.17443
0.936	-0.08308	-0.12202	0.19445	0.12673
0.94  	-0.08569	-0.11399	0.25678	0.18249
0.944	-0.08831	-0.10772	0.2545	0.19256
0.948	-0.0715	-0.11669	0.25328	0.19821
0.952	-0.08558	-0.10354	0.20444	0.25987
0.956	-0.09903	-0.09452	0.26099	0.25725
