                   200K         300K      400K          500K                
0                0.0334	0.01388	0.03513	-0.07253
-0.436	-3.23229	-2.93097	-2.71321	-2.52902
-0.44	        -3.20334	-2.90223	-2.72716	-2.49605
-0.444	-3.2597	-2.92044	-2.74078	-2.55954
-0.448	-3.251	-2.9271	-2.82955	-2.48847
-0.452	-3.25076	-2.85902	-2.85606	-2.51767
-0.456	-3.22306	-2.97097	-2.83985	-2.63089
-0.46 	-3.27543	-2.99232	-2.79957	-2.57383
-0.464	-3.22832	-2.97224	-2.85793	-2.53507
-0.468	-3.20779	-3.00494	-2.82341	-2.5067
-0.472	-3.20705	-3.07642	-2.84191	-2.6417
-0.476	-3.21397	-3.04998	-2.78797	-2.64895
-0.48 	-3.21821	-3.06184	-2.81724	-2.61977
-0.484	-3.14945	-3.11768	-2.81205	-2.59768
-0.488	-3.15626	-3.14449	-2.74632	-2.62433
-0.492	-3.19188	-3.02561	-2.73274	-2.54331
-0.496	-3.16926	-3.09649	-2.64351	-2.61698
-0.5   	-3.10759	-3.05652	-2.7825	-2.54182
-0.504	-3.15779	-3.09268	-2.60976	-2.59026
-0.508	-3.14573	-3.08648	-2.74352	-2.60579
-0.512	-3.21578	-3.15704	-2.62065	-2.67293
-0.516	-3.2478	-3.06947	-2.67672	-2.60678
-0.52 	-3.23139	-2.99441	-2.79816	-2.5713
-0.524	-3.28269	-2.94609	-2.73238	-2.60558
-0.528	-3.28127	-3.13688	-2.6972	-2.59265
-0.532	-3.28472	-3.07524	-2.77693	-2.62904
-0.536	-3.30199	-3.03525	-2.83831	-2.66837
-0.54  	-3.30583	-3.09587	-2.85	-2.60777
-0.544	-3.38932	-3.09629	-2.82536	-2.70921
-0.548	-3.3777	-3.081	-2.81689	-2.67995
-0.552	-3.40771	-3.08175	-2.96586	-2.77526
-0.556	-3.34106	-3.18989	-2.91851	-2.71544
-0.56 	-3.40668	-3.09656	-3.00215	-2.70454
-0.564	-3.43834	-3.06677	-3.00814	-2.65861
-0.568	-3.42053	-2.98215	-3.02864	-2.77896
-0.572	-3.32605	-3.09494	-3.02958	-2.72704
-0.576	-3.29232	-3.05948	-3.10522	-2.71847
-0.58 	-3.35843	-3.02178	-3.07276	-2.86141
-0.584	-3.3729	-3.06156	-3.07148	-2.7219
-0.588	-3.36193	-3.02561	-3.07258	-2.77992
-0.592	-3.29188	-3.06602	-3.09281	-2.70878
-0.596	-3.31336	-3.12519	-3.08987	-2.82417
-0.6   	-3.41914	-3.20342	-3.16797	-2.84395
-0.604	-3.35476	-3.23552	-3.08845	-2.81757
-0.608	-3.39496	-3.23235	-3.08868	-2.81718
-0.612	-3.37709	-3.32666	-3.03366	-2.85591
-0.616	-3.39882	-3.35821	-3.05224	-2.84492
-0.62 	-3.3839	-3.32715	-3.02413	-2.78566
-0.624	-3.42645	-3.29611	-3.18165	-2.89813
-0.628	-3.4302	-3.35988	-3.18966	-2.88547
-0.632	-3.441	-3.36734	-3.10707	-2.88106
-0.636	-3.48	-3.34857	-3.17252	-2.98894
-0.64 	-3.49799	-3.36563	-3.18454	-2.94444
-0.644	-3.46608	-3.43354	-3.05526	-3.00692
-0.648	-3.4571	-3.44913	-3.11217	-2.9599
-0.652	-3.49272	-3.48909	-3.21383	-3.01414
-0.656	-3.52184	-3.54403	-3.15101	-3.07279
-0.66 	-3.54429	-3.55107	-2.98502	-3.01152
-0.664	-3.5256	-3.56463	-3.06447	-2.98781
-0.668	-3.5023	-3.60375	-3.1714	-2.99677
-0.672	-3.45444	-3.67886	-3.16978	-3.07897
-0.676	-3.49259	-3.66944	-3.22296	-3.01067
-0.68 	-3.45785	-3.64267	-3.22818	-3.08268
-0.684	-3.47179	-3.70715	-3.16899	-3.11116
-0.688	-3.49852	-3.69047	-3.17895	-3.1396
-0.692	-3.58005	-3.79386	-3.21132	-3.11393
-0.696	-3.62938	-3.81108	-3.21585	-3.13505
-0.7   	-3.67095	-3.87606	-3.19666	-3.1331
-0.704	-3.73873	-3.93286	-3.19598	-3.10161
-0.708	-3.77712	-3.83145	-3.2801	-3.14131
-0.712	-3.79444	-3.93282	-3.33319	-3.22976
-0.716	-3.85062	-3.97581	-3.26981	-3.24671
-0.72	        -3.87062	-3.98785	-3.31734	-3.22449
-0.724	-3.87469	-4.03106	-3.42889	-3.20523
-0.728	-3.8797	-4.00143	-3.44302	-3.19788
-0.732	-3.88965	-4.02506	-3.53859	-3.25429
-0.736	-3.91226	-3.93295	-3.49742	-3.31024
-0.74 	-3.86521	-3.98596	-3.39174	-3.37961
-0.744	-3.89699	-3.98503	-3.47898	-3.36094
-0.748	-3.99397	-3.97477	-3.41029	-3.49865
-0.752	-4.02182	-3.94677	-3.52391	-3.50968
-0.756	-4.17538	-3.93916	-3.64297	-3.69784
-0.76 	-4.23888	-3.96794	-3.8416	-3.79734
-0.764	-4.34721	-4.03271	-3.92652	-3.88576
-0.768	-4.42171	-4.10002	-4.11179	-3.9312
-0.772	-4.55332	-4.12534	-4.06611	-4.06506
-0.776	-4.7182	-4.09641	-4.11674	-4.20777
-0.78 	-4.85344	-4.23093	-4.28279	-4.21936
-0.784	-4.97919	-4.23945	-4.3507	-4.45659
-0.788	-5.05662	-4.36635	-4.46064	-4.74721
