	         200K	 300K	 400K	500K
-0.436	-3.57141	-3.07599	-2.74601	-2.78472
-0.44 	-3.5812	-3.0518	-2.69702	-2.85526
-0.444	-3.55303	-3.1228	-2.75706	-2.78553
-0.448	-3.47726	-3.10178	-2.72691	-2.67408
-0.452	-3.46838	-3.1828	-2.7733	-2.63516
-0.456	-3.4212	-3.18384	-2.8272	-2.67154
-0.46 	-3.38021	-3.13212	-2.75537	-2.64219
-0.464	-3.34737	-3.0566	-2.82533	-2.68896
-0.468	-3.35339	-3.0172	-2.86917	-2.66767
-0.472	-3.24151	-3.0835	-2.78477	-2.6174
-0.476	-3.17251	-3.10049	-2.83876	-2.63216
-0.48 	-3.24058	-3.07084	-2.82346	-2.74289
-0.484	-3.17435	-3.03557	-2.87004	-2.78292
-0.488	-3.19039	-3.05288	-2.90877	-2.82802
-0.492	-3.21492	-3.02229	-2.86267	-2.74589
-0.496	-3.17931	-3.02242	-2.82808	-2.72545
-0.5   	-3.15687	-2.97522	-2.84592	-2.67123
-0.504	-3.21671	-3.0181	-2.81225	-2.69615
-0.508	-3.26199	-2.97529	-2.72915	-2.67572
-0.512	-3.28909	-2.99096	-2.78077	-2.63976
-0.516	-3.30076	-3.0408	-2.85499	-2.63564
-0.52 	-3.34925	-3.12115	-2.78576	-2.70813
-0.524	-3.34216	-3.00315	-2.86515	-2.78059
-0.528	-3.23835	-3.08224	-2.85196	-2.78129
-0.532	-3.30912	-3.07139	-2.96979	-2.67984
-0.536	-3.29779	-3.12569	-2.99033	-2.72133
-0.54 	-3.37843	-3.199	-2.975	-2.74125
-0.544	-3.43471	-3.24343	-2.96327	-2.70452
-0.548	-3.40817	-3.12207	-2.96731	-2.71253
-0.552	-3.411	-3.15465	-2.91845	-2.76643
-0.556	-3.35745	-3.1846	-2.9605	-2.7734
-0.56 	-3.34042	-3.15021	-2.9859	-2.83232
-0.564	-3.37731	-3.22279	-3.02894	-2.87591
-0.568	-3.26467	-3.15223	-2.95916	-2.84316
-0.572	-3.24705	-3.15159	-2.90241	-2.90693
-0.576	-3.32153	-3.11193	-2.90939	-2.90424
-0.58 	-3.28736	-3.1334	-2.93015	-2.88577
-0.584	-3.24404	-3.15823	-2.89668	-2.93137
-0.588	-3.40411	-3.09302	-2.89589	-2.8818
-0.592	-3.29785	-3.15653	-3.0227	-2.9224
-0.596	-3.31369	-3.13573	-2.98866	-2.96364
-0.6   	-3.34896	-3.11579	-2.97095	-3.00009
-0.604	-3.38532	-3.15757	-2.91024	-3.0214
-0.608	-3.33715	-3.19786	-2.95094	-2.92096
-0.612	-3.3599	-3.19013	-2.97001	-2.87862
-0.616	-3.42335	-3.31055	-2.96194	-2.81131
-0.62 	-3.38364	-3.27911	-2.91065	-2.85967
-0.624	-3.44883	-3.30138	-2.93581	-2.85943
-0.628	-3.46557	-3.28899	-3.03603	-2.80458
-0.632	-3.48078	-3.41406	-3.01634	-2.75376
-0.636	-3.60881	-3.31124	-3.10276	-2.7699
-0.64 	-3.54233	-3.29475	-3.10577	-2.87578
-0.644	-3.53917	-3.39799	-3.19965	-2.81861
-0.648	-3.58743	-3.35136	-3.16532	-2.86013
-0.652	-3.60346	-3.42639	-3.17841	-2.89557
-0.656	-3.60314	-3.44895	-3.24605	-2.90811
-0.66 	-3.64943	-3.44822	-3.2681	-2.95925
-0.664	-3.68455	-3.46604	-3.14748	-3.07365
-0.668	-3.66802	-3.47245	-3.08832	-3.04111
-0.672	-3.79902	-3.47066	-3.16284	-3.04669
-0.676	-3.78748	-3.45562	-3.16519	-3.19033
-0.68	        -3.73939	-3.45629	-3.14398	-3.19742
-0.684	-3.88026	-3.52092	-3.22477	-3.15317
-0.688	-3.84257	-3.46775	-3.25319	-3.2535
-0.692	-3.85472	-3.46061	-3.20933	-3.23402
-0.696	-3.88631	-3.57361	-3.28993	-3.21067
-0.7   	-3.94971	-3.58825	-3.22595	-3.17816
-0.704	-3.92042	-3.57099	-3.29621	-3.22171
-0.708	-3.93283	-3.5276	-3.29809	-3.22566
-0.712	-3.93839	-3.60421	-3.40633	-3.27955
-0.716	-4.04429	-3.66215	-3.41379	-3.34244
-0.72 	-4.00363	-3.55878	-3.47715	-3.32018
-0.724	-4.08972	-3.56931	-3.51293	-3.33301
-0.728	-4.14456	-3.6379	-3.48869	-3.39171
-0.732	-4.1964	-3.68699	-3.49348	-3.51419
-0.736	-4.28365	-3.69001	-3.51374	-3.45031
-0.74 	-4.3547	-3.72313	-3.59953	-3.54564
-0.744	-4.40651	-3.75307	-3.63481	-3.57302
-0.748	-4.43862	-3.68232	-3.72726	-3.65334
-0.752	-4.50897	-3.69967	-3.84004	-3.67085
-0.756	-4.67001	-3.78456	-3.95699	-3.6432
-0.76 	-4.72432	-3.87752	-4.05503	-3.61662
-0.764	-4.77037	-3.89474	-4.23956	-3.77429
-0.768	-4.97622	-4.03328	-4.2832	-3.75198
-0.772	-5.07066	-4.08755	-4.51818	-3.74057
-0.776	-5.17633	-3.99324	-4.56071	-3.83113
-0.78 	-5.29657	-4.15137	-4.60277	-3.78559
-0.784	-5.54132	-4.12667	-4.69519	-3.864
-0.788	-5.7406	-4.18741	-4.83795	-3.92933
-0.792	-5.89007	-4.08519	-5.05642	-4.00239
-0.796	-6.09577	-4.12487	-5.31645	-3.96667
-0.8   	-6.23319	-4.09284	-5.51396	-3.9464
-0.804	-6.36692	-4.04555	-5.85944	-4.08903
-0.808	-6.52981	-4.14982	-6.09321	-4.16898
-0.812	-6.75268	-4.15704	-6.29827	-4.28492
-0.816	-7.06172	-4.18457	-6.60828	-4.38501
-0.82 	-7.36095	-4.38169	-6.9432	-4.33577
-0.824	-7.63964	-4.53688	-7.12906	-4.41805
-0.828	-7.96535	-4.61812	-7.37069	-4.54598
-0.832	-8.42627	-4.69061	-7.65455	-4.61233
-0.836	-8.77483	-4.75819	-7.92168	-4.77909
-0.84 	-9.14674	-4.94847	-8.12663	-4.97852
-0.844	-9.62157	-5.02991	-8.36263	-5.0386
-0.848	-10.073	-5.21608	-8.52863	-5.29155
-0.852	-10.3365	-5.4508	-8.75867	-5.34443
-0.856	-10.6435	-5.53831	-9.19471	-5.46995
-0.86 	-11.1705	-5.87077	-9.54444	-5.63691
