	         200K	 300K	 400K	500K
0.516	-0.06285	0.08689	-0.4394	-0.02669
0.52  	-0.0654	0.03438	-0.39905	-0.01384
0.524	-0.0769	0.12189	-0.49293	-0.03782
0.528	-0.02735	0.10723	-0.45639	-0.03533
0.532	-0.04792	0.06727	-0.38893	-0.07566
0.536	-0.01579	0.12898	-0.38033	-0.12793
0.54  	-0.02712	0.12004	-0.38971	-0.07679
0.544	-0.04775	0.16214	-0.40734	-0.07848
0.548	-0.02916	0.08866	-0.38346	-0.02929
0.552	0.00298	0.10204	-0.39608	-0.08332
0.556	-0.00444	0.06133	-0.39241	-0.06691
0.56  	0.00126	0.05779	-0.42772	-0.09981
0.564	0.01332	0.10258	-0.39875	-0.08135
0.568	0.02063	0.10205	-0.4177	-0.08513
0.572	0.01304	0.05513	-0.37993	-0.0144
0.576	0.01392	0.09487	-0.39103	-0.04859
0.58  	0.05917	0.10638	-0.4389	-0.07662
0.584	0.02093	0.08902	-0.45959	-0.07545
0.588	0.02106	0.09541	-0.40884	-0.09637
0.592	0.04362	0.05545	-0.40598	-0.12625
0.596	0.04615	0.07693	-0.41627	-0.12322
0.6    	0.03029	0.06375	-0.40811	-0.08169
0.604	0.04093	0.05688	-0.39179	-0.05569
0.608	0.0375	0.07777	-0.43424	-0.06303
0.612	0.02222	0.04256	-0.42241	-0.03214
0.616	0.01919	0.08345	-0.41638	-0.05601
0.62  	0.02705	0.06505	-0.38056	-0.12056
0.624	0.03057	0.05267	-0.37243	-0.13859
0.628	0.04151	0.09653	-0.35528	-0.0442
0.632	0.0337	0.09009	-0.36311	0.00276
0.636	0.02894	0.11289	-0.37932	-0.11114
0.64  	0.02809	0.04163	-0.30603	-0.04604
0.644	0.00728	0.08358	-0.31604	-0.02496
0.648	-0.0227	0.06094	-0.29389	-0.0697
0.652	-0.02709	0.06156	-0.27076	-0.03322
0.656	0.03068	0.07094	-0.24169	-0.0441
0.66  	0.02917	0.07693	-0.26158	-3.47E-04
0.664	0.01219	0.08279	-0.22733	-0.0059
0.668	0.0227	0.10297	-0.22697	-0.02999
0.672	0.02255	0.05573	-0.17309	-0.03337
0.676	0.0368	0.0808	-0.19495	0.00792
0.68  	0.0468	0.05649	-0.16216	-0.05067
0.684	0.0338	0.02242	-0.13625	-0.03936
0.688	0.05571	0.03833	-0.09395	-0.0531
0.692	0.04501	0.03238	-0.08983	-0.05767
0.696	0.04087	0.0786	-0.05193	0.00142
0.7    	0.05877	0.08695	-0.05322	0.00485
0.704	0.05106	0.07378	-0.04177	0.01885
0.708	0.05369	0.04926	-0.047	-0.01481
0.712	0.01011	0.01809	9.00E-04	-0.01107
0.716	0.039	0.02643	-0.02291	0.04204
0.72  	4.92E-04	0.042	-0.01287	0.05091
0.724	0.05653	0.05424	-0.07396	0.04382
0.728	0.02643	0.03943	0.02715	0.06203
0.732	0.03553	0.05978	0.03295	0.03426
0.736	0.03038	0.03765	0.04042	-0.03615
0.74  	0.04353	0.05873	0.02833	0.06978
0.744	-0.01026	0.03836	0.06707	0.01169
0.748	0.00442	0.0433	0.08736	-0.04174
0.752	0.01249	0.08105	0.07271	0.01169
0.756	0.01503	0.07677	0.02606	-0.02243
0.76  	-0.02347	0.01813	0.05208	-0.02317
0.764	0.00813	0.00444	0.11558	1.12E-04
0.768	-0.02664	0.01414	0.1698	-0.01248
0.772	-0.02453	-0.0041	0.12415	0.03941
0.776	-0.04539	-0.0139	0.10446	0.02456
0.78  	-0.04304	-0.00305	0.12427	0.01603
0.784	-0.03412	0.00629	0.10194	0.04147
0.788	-0.06289	-0.00686	0.10495	0.0371
0.792	-0.04273	-0.02643	0.06485	0.0095
0.796	-0.04483	-0.0067	0.08876	0.0442
0.8    	-0.02928	-0.01915	0.09703	0.02334
0.804	-0.0134	-0.04507	0.0803	0.04161
0.808	-0.0342	0.00475	0.07754	0.00201
0.812	-0.06579	-0.00649	0.10384	0.04669
0.816	-0.0417	-0.02251	0.10061	0.00855
0.82  	-0.00698	2.44E-04	0.10586	-0.02546
0.824	-0.01827	0.0264	0.06536	0.02496
0.828	-9.16E-04	-0.00486	0.08454	0.01763
0.832	-0.04461	0.00501	0.07034	-0.00333
0.836	-0.02089	-0.04162	0.07918	0.00297
0.84  	-0.01525	-0.0484	0.08672	0.00297
0.844	-0.01446	4.32E-04	0.08742	-0.01807
0.848	-0.00756	0.04393	0.10895	-0.01711
0.852	-0.00787	0.00426	0.14974	-0.02102
0.856	-0.0451	0.00655	0.11837	-0.02201
0.86  	-0.03293	0.00935	0.07608	0.02121
0.864	-0.01922	0.04276	0.0589	0.0298
0.868	-0.01458	-0.00311	0.0376	0.03624
0.872	0.00142	-4.52E-05	0.03899	0.02452
0.876	-0.00788	0.00404	0.03867	-0.0364
0.88  	-0.02025	0.02295	0.04673	0.02083
0.884	0.01818	0.02108	0.0488	-0.01407
0.888	-0.01841	0.04619	0.00604	0.01141
0.892	0.01833	0.02937	0.02688	-0.01339
0.896	-0.00633	0.02132	0.02027	-0.02298
0.9    	-0.00123	-0.02487	-0.01048	-0.02654
0.904	-0.03449	0.00783	0.03076	-0.03952
0.908	-0.03025	-0.00421	-0.02719	-0.0647
0.912	-0.0147	-0.0044	0.01625	-0.02409
0.916	0.02187	-0.00486	-0.03058	-0.04482
0.92  	-0.04055	0.01394	-0.03053	-0.07589
0.924	-0.02078	0.00939	-0.00525	-0.04048
0.928	-0.01598	-0.00341	2.67E-04	-0.0344
0.932	-0.02161	0.02956	-0.0217	-0.0067
0.936	-0.02798	0.04741	-0.07003	-0.01019
0.94  	-0.02195	0.01432	-0.02806	-0.03859
0.944	-0.02603	0.06662	-0.0509	-0.02402
0.948	-0.02663	0.06993	-0.02233	-3.01E-04
0.952	-0.01632	0.07457	-0.0573	-0.00483
0.956	-0.00198	0.03802	-0.08551	-0.0158
