   fs      Gr    Gr-SV   Gr-DV   Gr-SW
  6650  0.11729 0.14922 0.12772  0.1066
  6700  0.11737 0.14916 0.12772 0.10681
  6750  0.11744  0.1491 0.12772 0.10702
  6800  0.11752 0.14903 0.12773 0.10723
  6850   0.1176 0.14897 0.12773 0.10744
  6900  0.11768 0.14891 0.12773 0.10765
  6950  0.11776 0.14885 0.12774 0.10786
  7000  0.11784 0.14878 0.12774 0.10807
  7050  0.11792 0.14872 0.12774 0.10828
  7100   0.118  0.14866 0.12774 0.10849
  7150  0.11807  0.1486 0.12775 0.10871
  7200  0.11815 0.14854 0.12775 0.10892
  7250  0.11823 0.14847 0.12775 0.10913
  7300  0.11831 0.14841 0.12776 0.10934
  7350  0.11839 0.14835 0.12776 0.10955
  7400  0.11846 0.14829 0.12776 0.10976
  7450  0.11854 0.14823 0.12776 0.10997
  7500  0.11862 0.14817 0.12777 0.11018
  7550   0.1187 0.14811 0.12777 0.11039
  7600  0.11877 0.14804 0.12777  0.1106
  7650  0.11885 0.14798 0.12777 0.11081
  7700  0.11893 0.14792 0.12778 0.11102
  7750  0.11901 0.14786 0.12778 0.11123
  7800  0.11908  0.1478 0.12778 0.11144
  7850  0.11916 0.14774 0.12779 0.11165
  7900  0.11924 0.14768 0.12779 0.11186
  7950  0.11931 0.14762 0.12779 0.11207
  8000  0.11939 0.14756 0.12779 0.11228
  8050  0.11947  0.1475  0.1278 0.11249
  8100  0.11955 0.14744  0.1278  0.1127
  8150  0.11962 0.14738  0.1278 0.11291
  8200   0.1197 0.14732  0.1278 0.11312
  8250  0.11977 0.14726  0.1278 0.11333
  8300  0.11985  0.1472 0.12781 0.11354
  8350  0.11993 0.14714 0.12781 0.11375
  8400    0.12  0.14708 0.12781 0.11396
  8450  0.12008 0.14703 0.12781 0.11417
  8500  0.12016 0.14697 0.12782 0.11438
  8550  0.12023 0.14691 0.12782 0.11459
  8600  0.12031 0.14685 0.12782  0.1148
  8650  0.12038 0.14679 0.12782 0.11501
  8700  0.12046 0.14673 0.12783 0.11522
  8750  0.12053 0.14667 0.12783 0.11543
  8800  0.12061 0.14662 0.12783 0.11564
  8850  0.12069 0.14656 0.12783 0.11585
  8900  0.12076  0.1465 0.12783 0.11606
  8950  0.12084 0.14644 0.12784 0.11627
  9000  0.12091 0.14638 0.12784 0.11648
  9050  0.12099 0.14633 0.12784 0.11669
  9100  0.12106 0.14627 0.12784  0.1169
  9150  0.12114 0.14621 0.12784 0.11711
  9200  0.12121 0.14615 0.12785 0.11732
  9250  0.12129  0.1461 0.12785 0.11753
  9300  0.12136 0.14604 0.12785 0.11774
  9350  0.12144 0.14598 0.12785 0.11795
  9400  0.12151 0.14592 0.12785 0.11816
  9450  0.12158 0.14587 0.12786 0.11837
  9500  0.12166 0.14581 0.12786 0.11858
  9550  0.12173 0.14575 0.12786 0.11879
  9600  0.12181  0.1457 0.12786 0.11899
  9650  0.12188 0.14564 0.12786  0.1192
  9700  0.12196 0.14559 0.12786 0.11941
  9750  0.12203 0.14553 0.12787 0.11962
  9800   0.1221 0.14547 0.12787 0.11983
  9850  0.12218 0.14542 0.12787 0.12004
  9900  0.12225 0.14536 0.12787 0.12025
  9950  0.12232 0.14531 0.12787 0.12046
 10000   0.1224 0.14525 0.12787 0.12067
 10050  0.12247 0.14519 0.12788 0.12088
 10100  0.12254 0.14514 0.12788 0.12109
 10150  0.12262 0.14508 0.12788  0.1213
 10200  0.12269 0.14503 0.12788 0.12151
 10250  0.12276 0.14497 0.12788 0.12171
 10300  0.12284 0.14492 0.12788 0.12192
 10350  0.12291 0.14486 0.12789 0.12213
 10400  0.12298 0.14481 0.12789 0.12234
 10450  0.12306 0.14475 0.12789 0.12255
 10500  0.12313  0.1447 0.12789 0.12276
 10550   0.1232 0.14465 0.12789 0.12297
 10600  0.12327 0.14459 0.12789 0.12318
 10650  0.12335 0.14454 0.12789 0.12339
 10700  0.12342 0.14448  0.1279  0.1236
 10750  0.12349 0.14443  0.1279  0.1238
 10800  0.12356 0.14438  0.1279 0.12401
 10850  0.12364 0.14432  0.1279 0.12422
 10900  0.12371 0.14427  0.1279 0.12443
 10950  0.12378 0.14422  0.1279 0.12464
 11000  0.12385 0.14416  0.1279 0.12485
 11050  0.12392 0.14411  0.1279 0.12506
 11100  0.12399 0.14406 0.12791 0.12527
 11150  0.12407  0.144  0.12791 0.12547
 11200  0.12414 0.14395 0.12791 0.12568
 11250  0.12421  0.1439 0.12791 0.12589
 11300  0.12428 0.14384 0.12791  0.1261
 11350  0.12435 0.14379 0.12791 0.12631
 11400  0.12442 0.14374 0.12791 0.12652
 11450  0.12449 0.14369 0.12791 0.12673
 11500  0.12457 0.14363 0.12791 0.12693
 11550  0.12464 0.14358 0.12792 0.12714
 11600  0.12471 0.14353 0.12792 0.12735
 11650  0.12478 0.14348 0.12792 0.12756
 11700  0.12485 0.14343 0.12792 0.12777
 11750  0.12492 0.14337 0.12792 0.12798
 11800  0.12499 0.14332 0.12792 0.12818
 11850  0.12506 0.14327 0.12792 0.12839
 11900  0.12513 0.14322 0.12792  0.1286
 11950   0.1252 0.14317 0.12792 0.12881
 12000  0.12527 0.14312 0.12792 0.12902
 12050  0.12534 0.14307 0.12792 0.12923
 12100  0.12541 0.14302 0.12792 0.12943
 12150  0.12548 0.14297 0.12793 0.12964
 12200  0.12555 0.14291 0.12793 0.12985
 12250  0.12562 0.14286 0.12793 0.13006
 12300  0.12569 0.14281 0.12793 0.13027
 12350  0.12576 0.14276 0.12793 0.13047
 12400  0.12583 0.14271 0.12793 0.13068
 12450   0.1259 0.14266 0.12793 0.13089
 12500  0.12597 0.14261 0.12793  0.1311
 12550  0.12604 0.14256 0.12793 0.13131
 12600  0.12611 0.14251 0.12793 0.13151
 12650  0.12618 0.14246 0.12793 0.13172
 12700  0.12625 0.14241 0.12793 0.13193
 12750  0.12631 0.14236 0.12793 0.13214
 12800  0.12638 0.14231 0.12793 0.13235
 12850  0.12645 0.14227 0.12793 0.13255
 12900  0.12652 0.14222 0.12793 0.13276
 12950  0.12659 0.14217 0.12793 0.13297
 13000  0.12666 0.14212 0.12793 0.13318
 13050  0.12673 0.14207 0.12793 0.13338
 13100  0.12679 0.14202 0.12793 0.13359
 13150  0.12686 0.14197 0.12793  0.1338
 13200  0.12693 0.14192 0.12793 0.13401
 13250   0.127  0.14188 0.12794 0.13421
 13300  0.12707 0.14183 0.12794 0.13442
 13350  0.12713 0.14178 0.12794 0.13463
 13400   0.1272 0.14173 0.12794 0.13484
 13450  0.12727 0.14168 0.12794 0.13505
 13500  0.12734 0.14164 0.12794 0.13525
 13550  0.12741 0.14159 0.12794 0.13546
 13600  0.12747 0.14154 0.12794 0.13567
 13650  0.12754 0.14149 0.12794 0.13587
 13700  0.12761 0.14145 0.12794 0.13608
 13750  0.12768  0.1414 0.12794 0.13629
 13800  0.12774 0.14135 0.12794  0.1365
 13850  0.12781  0.1413 0.12794  0.1367
 13900  0.12788 0.14126 0.12794 0.13691
 13950  0.12794 0.14121 0.12794 0.13712
 14000  0.12801 0.14116 0.12794 0.13733
 14050  0.12808 0.14112 0.12794 0.13753
 14100  0.12814 0.14107 0.12794 0.13774
 14150  0.12821 0.14102 0.12794 0.13795
 14200  0.12828 0.14098 0.12794 0.13815
 14250  0.12834 0.14093 0.12794 0.13836
 14300  0.12841 0.14089 0.12794 0.13857
 14350  0.12848 0.14084 0.12793 0.13878
 14400  0.12854 0.14079 0.12793 0.13898
 14450  0.12861 0.14075 0.12793 0.13919
 14500  0.12867  0.1407 0.12793  0.1394
 14550  0.12874 0.14066 0.12793  0.1396
 14600  0.12881 0.14061 0.12793 0.13981
 14650  0.12887 0.14057 0.12793 0.14002
 14700  0.12894 0.14052 0.12793 0.14022
 14750   0.129  0.14048 0.12793 0.14043
 14800  0.12907 0.14043 0.12793 0.14064
 14850  0.12913 0.14039 0.12793 0.14085
 14900   0.1292 0.14034 0.12793 0.14105
 14950  0.12927  0.1403 0.12793 0.14126
 15000  0.12933 0.14025 0.12793 0.14147
 15050   0.1294 0.14021 0.12793 0.14167
 15100  0.12946 0.14016 0.12793 0.14188
 15150  0.12953 0.14012 0.12793 0.14209
 15200  0.12959 0.14008 0.12793 0.14229
 15250  0.12966 0.14003 0.12793  0.1425
 15300  0.12972 0.13999 0.12793 0.14271
 15350  0.12978 0.13995 0.12793 0.14291
 15400  0.12985  0.1399 0.12792 0.14312
 15450  0.12991 0.13986 0.12792 0.14333
 15500  0.12998 0.13982 0.12792 0.14353
 15550  0.13004 0.13977 0.12792 0.14374
 15600  0.13011 0.13973 0.12792 0.14395
 15650  0.13017 0.13969 0.12792 0.14415
 15700  0.13023 0.13964 0.12792 0.14436
 15750   0.1303  0.1396 0.12792 0.14456
 15800  0.13036 0.13956 0.12792 0.14477
 15850  0.13043 0.13951 0.12792 0.14498
 15900  0.13049 0.13947 0.12792 0.14518
 15950  0.13055 0.13943 0.12792 0.14539
 16000  0.13062 0.13939 0.12791  0.1456
 16050  0.13068 0.13935 0.12791  0.1458
 16100  0.13074  0.1393 0.12791 0.14601
 16150  0.13081 0.13926 0.12791 0.14621
 16200  0.13087 0.13922 0.12791 0.14642
 16250  0.13093 0.13918 0.12791 0.14663
 16300   0.131  0.13914 0.12791 0.14683
 16350  0.13106  0.1391 0.12791 0.14704
 16400  0.13112 0.13905 0.12791 0.14725
 16450  0.13118 0.13901 0.12791 0.14745
 16500  0.13125 0.13897  0.1279 0.14766
 16550  0.13131 0.13893  0.1279 0.14786
 16600  0.13137 0.13889  0.1279 0.14807
 16650  0.13143 0.13885  0.1279 0.14828
 16700   0.1315 0.13881  0.1279 0.14848
 16750  0.13156 0.13877  0.1279 0.14869
 16800  0.13162 0.13873  0.1279 0.14889
 16850  0.13168 0.13869  0.1279  0.1491
 16900  0.13175 0.13865 0.12789  0.1493
 16950  0.13181 0.13861 0.12789 0.14951
 17000  0.13187 0.13857 0.12789 0.14972
 17050  0.13193 0.13853 0.12789 0.14992
 17100  0.13199 0.13849 0.12789 0.15013
 17150  0.13205 0.13845 0.12789 0.15033
 17200  0.13212 0.13841 0.12789 0.15054
 17250  0.13218 0.13837 0.12788 0.15074
 17300  0.13224 0.13833 0.12788 0.15095
 17350   0.1323 0.13829 0.12788 0.15116
 17400  0.13236 0.13825 0.12788 0.15136
 17450  0.13242 0.13821 0.12788 0.15157
 17500  0.13248 0.13817 0.12788 0.15177
 17550  0.13254 0.13813 0.12787 0.15198
 17600  0.13261  0.1381 0.12787 0.15218
 17650  0.13267 0.13806 0.12787 0.15239
 17700  0.13273 0.13802 0.12787 0.15259
 17750  0.13279 0.13798 0.12787  0.1528
 17800  0.13285 0.13794 0.12787 0.15301
 17850  0.13291  0.1379 0.12786 0.15321
 17900  0.13297 0.13787 0.12786 0.15342
 17950  0.13303 0.13783 0.12786 0.15362
 18000  0.13309 0.13779 0.12786 0.15383
 18050  0.13315 0.13775 0.12786 0.15403
 18100  0.13321 0.13772 0.12786 0.15424
 18150  0.13327 0.13768 0.12785 0.15444
 18200  0.13333 0.13764 0.12785 0.15465
 18250  0.13339  0.1376 0.12785 0.15485
 18300  0.13345 0.13757 0.12785 0.15506
 18350  0.13351 0.13753 0.12785 0.15526
 18400  0.13357 0.13749 0.12784 0.15547
 18450  0.13363 0.13746 0.12784 0.15567
 18500  0.13369 0.13742 0.12784 0.15588
 18550  0.13375 0.13738 0.12784 0.15608
 18600   0.1338 0.13735 0.12784 0.15629
 18650  0.13386 0.13731 0.12783 0.15649
 18700  0.13392 0.13727 0.12783  0.1567
 18750  0.13398 0.13724 0.12783  0.1569
 18800  0.13404  0.1372 0.12783 0.15711
 18850   0.1341 0.13717 0.12783 0.15731
 18900  0.13416 0.13713 0.12782 0.15752
 18950  0.13422 0.13709 0.12782 0.15772
 19000  0.13428 0.13706 0.12782 0.15793
 19050  0.13433 0.13702 0.12782 0.15813
 19100  0.13439 0.13699 0.12781 0.15834
 19150  0.13445 0.13695 0.12781 0.15854
 19200  0.13451 0.13692 0.12781 0.15875
 19250  0.13457 0.13688 0.12781 0.15895
 19300  0.13462 0.13685  0.1278 0.15916
 19350  0.13468 0.13681  0.1278 0.15936
 19400  0.13474 0.13678  0.1278 0.15956
 19450   0.1348 0.13674  0.1278 0.15977
 19500  0.13486 0.13671 0.12779 0.15997
 19550  0.13491 0.13668 0.12779 0.16018
 19600  0.13497 0.13664 0.12779 0.16038
 19650  0.13503 0.13661 0.12779 0.16059
 19700  0.13509 0.13657 0.12778 0.16079
 19750  0.13514 0.13654 0.12778  0.161
 19800   0.1352 0.13651 0.12778  0.1612
 19850  0.13526 0.13647 0.12778  0.1614
 19900  0.13531 0.13644 0.12777 0.16161
 19950  0.13537  0.1364 0.12777 0.16181
 20000  0.13543 0.13637 0.12777 0.16202
 20050  0.13548 0.13634 0.12777 0.16222
 20100  0.13554 0.13631 0.12776 0.16243
 20150   0.1356 0.13627 0.12776 0.16263
 20200  0.13565 0.13624 0.12776 0.16283
 20250  0.13571 0.13621 0.12776 0.16304
 20300  0.13577 0.13617 0.12775 0.16324
 20350  0.13582 0.13614 0.12775 0.16345
 20400  0.13588 0.13611 0.12775 0.16365
 20450  0.13594 0.13608 0.12774 0.16386
 20500  0.13599 0.13604 0.12774 0.16406
 20550  0.13605 0.13601 0.12774 0.16426
 20600   0.1361 0.13598 0.12774 0.16447
 20650  0.13616 0.13595 0.12773 0.16467
 20700  0.13622 0.13592 0.12773 0.16488
 20750  0.13627 0.13589 0.12773 0.16508
 20800  0.13633 0.13585 0.12772 0.16528
 20850  0.13638 0.13582 0.12772 0.16549
 20900  0.13644 0.13579 0.12772 0.16569
 20950  0.13649 0.13576 0.12771 0.16589
 21000  0.13655 0.13573 0.12771  0.1661
