         GO-OH  GO-OH-SV GO-OH-DV GO-OH-SW
10.0875 0.80053 0.80546 0.80367 0.85335
10.1625 0.79884 0.80377 0.81641 0.85608
10.2375 0.79975 0.80495 0.82914 0.85489
10.3125 0.80704 0.81296 0.84195 0.85599
10.3875 0.81924 0.82083 0.85473  0.8492
10.4625 0.83338 0.82999 0.86396 0.84331
10.5375  0.8458 0.83751 0.86314 0.83515
10.6125 0.85263 0.84327 0.86153  0.831
10.6875 0.85736 0.84636 0.84895 0.83017
10.7625 0.85672 0.84975 0.84222 0.83209
10.8375 0.85362 0.85087 0.83551 0.83755
10.9125 0.84996  0.853  0.83213 0.83668
10.9875 0.84691 0.85424 0.84032 0.83849
11.0625  0.8454 0.85488 0.85148 0.83913
11.1375 0.84367 0.85396 0.86472 0.83745
11.2125 0.84729 0.85774 0.87638 0.83559
11.2875 0.84463 0.85681 0.88541 0.83549
11.3625 0.84603 0.86155 0.88615 0.83511
11.4375 0.84793 0.85982 0.88438 0.83481
11.5125 0.85452  0.8556 0.87925 0.83637
11.5875 0.86237 0.84917 0.87093 0.83596
11.6625 0.86968  0.8446 0.86696  0.8344
11.7375 0.87433 0.84496 0.85882 0.83334
11.8125 0.87622 0.84227 0.85589  0.8323
11.8875  0.873  0.84219 0.84751 0.82983
11.9625 0.86864 0.84486 0.85069 0.83463
12.0375 0.86539  0.8536 0.85489 0.83926
12.1125 0.85877 0.85767 0.86224 0.84325
12.1875 0.85784 0.86215 0.87281 0.84823
12.2625 0.85766 0.86479 0.88422 0.85644
12.3375 0.86188 0.86724 0.88961 0.86354
12.4125 0.86697 0.86571  0.8911  0.8726
12.4875 0.87198 0.86438  0.8855 0.87711
12.5625 0.87781 0.86616 0.87666 0.87752
12.6375 0.88056 0.86535 0.86606 0.87386
12.7125 0.88065 0.86894 0.86122 0.86695
12.7875 0.87834 0.87224 0.85952 0.85978
12.8625 0.87068 0.87882 0.86044 0.85437
12.9375 0.86486 0.88702 0.86165 0.85199
13.0125 0.85695 0.89499 0.86217  0.8553
13.0875 0.84859 0.90289 0.86335 0.86141
13.1625 0.84422 0.90913 0.86365  0.871
13.2375 0.84951 0.91208 0.85978 0.87871
13.3125 0.85637 0.91336 0.85364 0.88826
13.3875  0.8662 0.91203 0.84969  0.8923
13.4625 0.87151 0.90746 0.84956 0.89815
13.5375 0.87632 0.89652 0.85401  0.9025
13.6125 0.87352  0.8876 0.86137 0.90272
13.6875 0.86767 0.87732 0.86939 0.90007
13.7625 0.86704 0.87089 0.87807 0.89357
13.8375 0.86956 0.86888 0.88663 0.88391
13.9125 0.87647 0.86957 0.89418 0.87548
13.9875 0.88763 0.87346 0.89755 0.86645
14.0625 0.89859 0.87612 0.90059 0.86242
14.1375 0.90554 0.88149 0.90315 0.86151
14.2125  0.9126 0.88596 0.90776  0.8635
14.2875 0.91628 0.88419  0.9143 0.87105
14.3625  0.9195 0.88209 0.92122 0.88308
14.4375 0.92002 0.87799  0.9278 0.89974
14.5125 0.91622 0.87401 0.93485 0.91823
14.5875  0.914  0.87292 0.94048 0.93541
14.6625 0.90858 0.87452 0.94399  0.9469
14.7375 0.90633 0.88489 0.94105 0.95458
14.8125 0.90702 0.89549 0.93491 0.95736
14.8875 0.91109  0.9081 0.92387 0.95544
14.9625 0.91332 0.92159 0.91064  0.9524
