        GO-COOH GO-COOH-SV GO-COOH-DV GO-COOH-SW
10.0875 0.96803 0.96781 0.98313 0.98674
10.1625 0.97514 0.97401 0.99017 0.99223
10.2375 0.98483 0.98154 0.99437 0.99682
10.3125 0.99487 0.98884 1.00083 1.00067
10.3875 1.00338 0.99585 1.00669 1.00421
10.4625 1.01251 1.00257 1.01127 1.00896
10.5375 1.01794 1.00883 1.01639 1.01629
10.6125 1.02313  1.014  1.02065 1.02332
10.6875 1.02777 1.01887 1.02697 1.03235
10.7625 1.03182 1.02474 1.03242 1.04332
10.8375 1.03675 1.02999 1.03881 1.05464
10.9125 1.04372 1.03764 1.04495 1.06459
10.9875 1.05074  1.0426  1.0511 1.07357
11.0625 1.05894 1.04861 1.05853  1.0812
11.1375 1.06702 1.05194 1.06474 1.08617
11.2125 1.07593 1.05556 1.07014 1.09003
11.2875 1.08339 1.05765 1.07567  1.0913
11.3625 1.08939 1.06045 1.07911 1.09126
11.4375  1.095  1.06177 1.08413 1.09054
11.5125  1.0988 1.06297 1.08527 1.09042
11.5875 1.10187 1.06515 1.08609  1.0897
11.6625 1.10218 1.06707 1.08761 1.08993
11.7375 1.10269 1.07068 1.08857  1.0911
11.8125  1.1028 1.07432 1.09041 1.09218
11.8875 1.10197 1.07851 1.09183 1.09238
11.9625 1.10216 1.08217 1.09354 1.09418
12.0375  1.1014 1.08635 1.09353 1.09437
12.1125 1.10069 1.08992 1.09227 1.09438
12.1875 1.09971 1.09276 1.09056 1.09357
12.2625 1.09897 1.09466 1.08818  1.092
12.3375  1.0975 1.09452 1.08716 1.09028
12.4125 1.09633 1.09542 1.08621 1.08982
12.4875 1.09611 1.09561 1.08571 1.09009
12.5625 1.09469 1.09534 1.08598 1.09048
12.6375 1.09461 1.09547 1.08604  1.0909
12.7125 1.09451 1.09662  1.0873 1.09085
12.7875  1.0943 1.09831 1.08762 1.09195
12.8625 1.09573 1.09999 1.09018 1.09191
12.9375 1.09515 1.10313 1.09395 1.09234
13.0125 1.09584 1.10539 1.09712  1.0925
13.0875 1.09626 1.10907 1.10161 1.09391
13.1625 1.09807 1.11416 1.10533 1.09598
13.2375 1.10058 1.11862 1.11014 1.09908
13.3125 1.10384 1.12272 1.11448 1.10234
13.3875 1.10731 1.12673 1.11885 1.10744
13.4625 1.11061 1.12984 1.12351 1.11176
13.5375 1.11501 1.13211 1.12785 1.11655
13.6125 1.11876  1.1334 1.13087 1.12166
13.6875 1.12372  1.1354 1.13294 1.12456
13.7625 1.12806 1.13628  1.1334 1.12728
13.8375 1.13276 1.13782 1.13336 1.12947
13.9125 1.13605 1.13931 1.13131 1.13072
13.9875 1.13931 1.13988 1.13053 1.13157
14.0625 1.14051 1.13958 1.12844 1.13169
14.1375 1.14089  1.1383 1.12807 1.13201
14.2125 1.13949 1.13467 1.12799 1.13208
14.2875 1.13798 1.13163 1.12754 1.13175
14.3625 1.13618 1.12874 1.12746 1.13125
14.4375 1.13346 1.12634 1.12728 1.12848
14.5125 1.12992 1.12504 1.12788 1.12593
14.5875 1.12617 1.12354 1.12684 1.12317
14.6625 1.12205 1.12261 1.12687 1.11928
14.7375 1.11955 1.12024 1.12578 1.11576
14.8125 1.11634 1.11799 1.12344 1.11057
14.8875 1.11317 1.11402 1.12119 1.10637
14.9625 1.11034 1.11158 1.11813 1.10159
