          GO-O  GO-O-SV GO-O-DV GO-O-SW
10.0875 0.80587 0.79303 0.81624 0.83733
10.1625 0.81859 0.79349 0.82311 0.83572
10.2375 0.83333  0.7887 0.83087  0.8331
10.3125 0.84041 0.78735 0.84221  0.8257
10.3875 0.84366 0.79235 0.85179 0.81966
10.4625 0.84801 0.80142 0.85706 0.81109
10.5375  0.8449 0.81152 0.86002 0.80188
10.6125 0.84321 0.82079 0.85753 0.79887
10.6875 0.84122  0.8295 0.85346  0.7986
10.7625 0.84176 0.83428 0.84283 0.80517
10.8375 0.84206 0.83957 0.83376 0.81701
10.9125 0.84136 0.84441 0.82698 0.82764
10.9875 0.84154 0.84484 0.81806 0.83368
11.0625 0.83697  0.8492 0.81673 0.83559
11.1375  0.8327 0.84927 0.81651 0.83381
11.2125 0.83062 0.85358  0.8163 0.83143
11.2875 0.82957 0.85599 0.81721 0.82389
11.3625 0.83087 0.85864 0.82198 0.82011
11.4375 0.83505 0.85567 0.82924 0.81571
11.5125 0.83944 0.84911 0.83657 0.82169
11.5875 0.84312  0.8426 0.84747 0.82674
11.6625  0.8445  0.8381 0.85565 0.83876
11.7375 0.84634 0.83369 0.85902 0.84941
11.8125 0.84451 0.83088 0.86167 0.85938
11.8875 0.84295 0.83428  0.8623 0.86847
11.9625 0.84567 0.83774 0.86351 0.87658
12.0375 0.84582 0.83524 0.86602 0.87745
12.1125 0.84887 0.83802 0.86959  0.8741
12.1875 0.85343 0.83769 0.87602 0.86724
12.2625  0.8588 0.83837 0.88197 0.86447
12.3375 0.86268 0.84251 0.88958 0.86013
12.4125 0.86438 0.84848  0.8934 0.85616
12.4875  0.8661 0.85343 0.89239 0.85683
12.5625 0.86646  0.8596 0.88827 0.85825
12.6375   0.87  0.86504 0.88473 0.85796
12.7125 0.87136 0.87034 0.87909 0.85524
12.7875  0.8745  0.8753 0.87478 0.85289
12.8625 0.87923 0.88352 0.87637 0.85251
12.9375 0.88266 0.88978 0.87887 0.85184
13.0125 0.89143 0.89522 0.88412 0.85094
13.0875 0.89655 0.89815 0.88714 0.85283
13.1625 0.90371  0.9013 0.89206  0.8548
13.2375 0.91439 0.90105  0.8924 0.85755
13.3125 0.92276 0.90117 0.89457 0.86006
13.3875 0.93068 0.89922 0.89629 0.86449
13.4625 0.93157 0.90003 0.89138 0.87142
13.5375 0.93177 0.89996 0.89007 0.87642
13.6125 0.92703 0.90363 0.88113 0.88247
13.6875 0.91918 0.90424 0.87602 0.88342
13.7625 0.90762 0.90484  0.8715 0.88622
13.8375  0.8984 0.90444 0.87135  0.8887
13.9125 0.88794 0.90304 0.87662 0.89124
13.9875 0.88204 0.90249 0.88612 0.89646
14.0625 0.87741 0.90254 0.89418 0.89894
14.1375 0.87444 0.90196 0.89833 0.90156
14.2125 0.87379  0.9014  0.9003 0.90278
14.2875 0.87494  0.9044 0.89835 0.90467
14.3625 0.87901 0.90621  0.8961 0.90378
14.4375 0.88305 0.90524  0.8944 0.90602
14.5125 0.89213 0.90501 0.89194 0.90912
14.5875 0.89977 0.90165 0.89146 0.91099
14.6625 0.90404 0.90205 0.88725 0.91272
14.7375 0.90338 0.89975 0.88498 0.91151
14.8125 0.90692   0.9   0.88208 0.91312
14.8875 0.90507 0.90161 0.88615 0.91532
14.9625 0.90567 0.90401 0.89182  0.9146
