          GO-O  GO-O-SV GO-O-DV GO-O-SW
   0    0.01388 -0.030330.01425 -0.06075
 0.508  0.21343 0.26569 0.24758 0.20063
 0.512   0.2654 0.28957 0.26485 0.19489
 0.516  0.28284 0.28842 0.28878 0.22793
  0.52  0.23098 0.26123 0.33442 0.16771
 0.524  0.19973  0.2502 0.32831 0.15426
 0.528  0.16832 0.24032 0.31321 0.21852
 0.532  0.18855 0.29479 0.29673 0.18903
 0.536  0.21006 0.21158 0.27809 0.15775
  0.54  0.17667 0.18374 0.30616  0.2019
 0.544  0.15986 0.20269 0.32573  0.2127
 0.548  0.18098 0.21107 0.27977  0.199
 0.552  0.16036 0.23427 0.30239 0.15002
 0.556   0.1453 0.18344 0.33013 0.15049
  0.56  0.09191 0.17749 0.28913 0.16766
 0.564  0.13025 0.18074 0.24541  0.169
 0.568  0.13586 0.20592 0.30455 0.15015
 0.572  0.10504 0.21927 0.31661  0.1628
 0.576  0.10153 0.23493 0.30444 0.18061
  0.58  0.14504 0.21832 0.32898 0.15836
 0.584  0.11829 0.10214 0.32066 0.11024
 0.588  0.13625 0.14478 0.33571 0.09532
 0.592  0.10451 0.18601 0.29795 0.11705
 0.596  0.07149 0.24078 0.23831  0.1015
  0.6    0.0931 0.22847 0.32896 0.10619
 0.604  0.09649 0.26744 0.31867 0.07772
 0.608  0.11315 0.22111 0.31294 0.09306
 0.612  0.09428 0.22972 0.30248 0.12168
 0.616  0.05236 0.22213 0.29495 0.12208
  0.62  0.03201 0.18319 0.27001 0.09848
 0.624  0.03888 0.19639 0.26958 0.06678
 0.628  0.01674 0.23526 0.21822  0.0619
 0.632  0.01048 0.22066  0.1696 0.07628
 0.636  0.08868 0.18662  0.1537 0.07815
  0.64  0.04466 0.18333 0.23854 0.09694
 0.644  0.07175 0.17527 0.22766 0.12895
 0.648  -0.000890.14403 0.21101 0.09375
 0.652   0.0281 0.12285 0.20384 0.08525
 0.656  -0.013770.11169 0.20539  0.1677
  0.66  -0.035490.14536 0.16897 0.11395
 0.664  -0.01454 0.156  0.16975 0.12861
 0.668  -0.013050.11798 0.21626 0.09978
 0.672  0.00352 0.07181 0.20636 0.14002
 0.676  0.01864 0.11306 0.16584 0.14885
  0.68  0.01245 0.08807 0.19582 0.17549
 0.684  -0.002740.16488 0.14627  0.1384
 0.688  -0.012070.17524  0.1437  0.0889
 0.692  0.01662 0.12747 0.14906 0.11572
 0.696  0.00969 0.12118 0.21356 0.11538
  0.7   0.03122 0.13332 0.19547  0.1257
 0.704  0.04281  0.095  0.19956 0.09645
 0.708  0.03756 0.09216 0.19034 0.08217
 0.712  -0.012130.12219 0.19745 0.06995
 0.716  -0.023470.09212 0.24595 0.11282
  0.72  0.01067 0.06161 0.19354 0.08451
 0.724  0.02955 0.08863 0.19694 0.09678
 0.728  0.02876 0.11494 0.23893 0.06125
 0.732  0.03465 0.12727 0.21762  0.068
 0.736   0.0223 0.09702 0.26374 0.03197
  0.74  0.01468 0.08775 0.24924 0.07716
 0.744  0.01804 0.12025 0.21353 0.08463
 0.748  -0.005980.11065  0.235  0.08645
 0.752  -0.002480.07998 0.22228 0.09774
 0.756  -0.002170.08471 0.20563 0.09317
  0.76  0.01078 0.08169 0.21059 0.06853
 0.764  -0.022130.06781 0.19118 0.07703
 0.768  -0.011160.05705 0.22818 0.08916
 0.772  0.00413 0.00608  0.2183 0.09152
 0.776  -0.023280.06737 0.20963 0.13488
  0.78  0.0002420.00407 0.23827 0.12893
 0.784  -0.03457-0.018010.23205 0.09964
 0.788  -0.03047-0.02708 0.1893 0.08699
 0.792  -0.01851-0.0032 0.22661  0.1374
 0.796  0.00355 0.01474 0.18653 0.15087
  0.8   -0.00773-0.0145 0.15864 0.11182
 0.804  -0.00686-0.038140.12252 0.12858
 0.808  0.00502 -0.0014 0.15467 0.12616
 0.812  -0.00483-0.009310.17314 0.10405
 0.816  -0.013380.02576 0.13735 0.12329
  0.82  0.01024 0.03924 0.14159 0.12761
 0.824  0.06766 0.03369 0.16421 0.16784
 0.828  0.03507 0.05537 0.18233 0.15756
 0.832  -0.008790.07896 0.17128 0.14682
 0.836  -0.019550.02777 0.19571 0.11799
  0.84  0.01021 0.04575 0.21013  0.1326
 0.844  0.02656 0.02792 0.18272 0.14068
 0.848  -0.007080.10665 0.19954 0.11556
 0.852  -0.0332 0.08002 0.15071 0.11354
 0.856  0.01609 0.02456 0.15007 0.09519
  0.86  0.00357 0.01022 0.17503 0.07749
 0.864  0.01042 0.04502 0.20328 0.09668
 0.868  -0.003250.06307 0.18489 0.07677
 0.872  0.04662 0.08239 0.15929 0.06359
 0.876  0.01241 0.07378 0.13583 0.03474
  0.88  -0.02205 0.0953 0.14882 0.03592
 0.884  0.00253 0.05991 0.19038 0.05184
 0.888  -0.021160.06314 0.16939 -7.9E-05
 0.892  0.01971 0.05696 0.19476  0.0344
 0.896  0.01407 0.05697 0.17428 0.04821
  0.9   -0.00621 0.0843 0.17286 0.03159
 0.904  0.00638  0.0653 0.18676 0.04923
 0.908  0.02398 0.03554 0.19567  0.022
 0.912  -0.008860.01977  0.2297 0.00529
 0.916  -0.03735 0.0428 0.18842 0.01352
  0.92  -0.013570.00486 0.18891 0.02545
 0.924  -0.007280.00244 0.20576 0.01097
 0.928   0.007  0.06499 0.20077 0.01679
 0.932  0.01292  0.0653 0.14897 0.02488
 0.936  0.02176  0.0883 0.17751 0.00664
  0.94  0.01031 0.05553 0.17744  0.0232
 0.944  -0.015220.06219  0.1752 0.03695
 0.948  0.04928 0.10149 0.18657  0.0481
 0.952  0.08755  0.0493 0.20917 0.03487
 0.956  0.06623 0.04591 0.18614 0.03545
