           Gr    Gr-SV   Gr-DV   Gr-SW
10.0875 0.97223 0.98327 0.96636 0.96793
10.1625 0.97514 0.98825 0.97431 0.97211
10.2375 0.97933 0.99303 0.98287 0.97796
10.3125 0.98305  0.9978 0.98913 0.98267
10.3875 0.98835 1.00046 0.99649 0.98886
10.4625 0.99454 1.00265 1.00275 0.99572
10.5375 1.00212 1.00381 1.00859 1.00223
10.6125  1.0088 1.00504 1.01302 1.00848
10.6875 1.01766 1.00678 1.01938 1.01249
10.7625 1.02579 1.01104 1.02385 1.01907
10.8375 1.03441 1.01544 1.03044 1.02476
10.9125 1.04074 1.02336  1.0374  1.0322
10.9875 1.04678 1.03175  1.0449 1.03743
11.0625 1.05102 1.04151 1.05211 1.04178
11.1375 1.05416 1.05007 1.05805 1.04577
11.2125 1.05629 1.05789 1.06064 1.05013
11.2875 1.05874 1.06314  1.0618 1.05381
11.3625 1.06101 1.06498  1.0616 1.05648
11.4375 1.06233 1.06679 1.06124 1.05902
11.5125 1.06463 1.06751 1.06073 1.06027
11.5875  1.0662 1.06869 1.06163 1.06185
11.6625 1.06924  1.0699  1.0632 1.06089
11.7375 1.07007  1.0711 1.06491 1.05989
11.8125 1.07055 1.07303 1.06692 1.05928
11.8875 1.07126 1.07365 1.06899 1.06015
11.9625 1.07088  1.0741 1.07125 1.06018
12.0375 1.07051 1.07317 1.07269  1.0626
12.1125 1.06976 1.07222 1.07306 1.06534
12.1875 1.06975 1.07172 1.07225 1.06773
12.2625 1.06818  1.0716 1.07145 1.06977
12.3375 1.06721 1.07213 1.06858 1.07072
12.4125 1.06653 1.07398 1.06561 1.07168
12.4875 1.06448 1.07487 1.06241 1.07251
12.5625 1.06236 1.07622 1.06034 1.07185
12.6375 1.06206 1.07747 1.06033 1.07223
12.7125 1.06131 1.07899 1.06072 1.07233
12.7875 1.06295 1.08013 1.06355  1.0723
12.8625 1.06481 1.08173 1.06884 1.07363
12.9375 1.06943 1.08325 1.07439 1.07709
13.0125 1.07445 1.08477 1.08104 1.08002
13.0875 1.08066 1.08637  1.0868 1.08419
13.1625 1.08556 1.08731 1.09046 1.08915
13.2375 1.09176 1.08948 1.09442 1.09463
13.3125 1.09664 1.09223 1.09784 1.09829
13.3875 1.09929 1.09526 1.10098 1.10181
13.4625 1.10335 1.09973 1.10455 1.10601
13.5375 1.10754 1.10378 1.10755 1.10963
13.6125  1.1106 1.10685 1.11051 1.11328
13.6875 1.11254 1.10956  1.1119 1.11591
13.7625  1.1143 1.11143 1.11344 1.11774
13.8375 1.11398 1.11245 1.11389 1.11908
13.9125 1.11323 1.11241 1.11455 1.12038
13.9875 1.11063 1.11425 1.11537 1.12117
14.0625  1.1085 1.11593 1.11635 1.12169
14.1375 1.10753  1.1175 1.11825 1.12186
14.2125 1.10713 1.11915  1.1206 1.12195
14.2875 1.10675 1.12049 1.12256 1.12129
14.3625 1.10749 1.12022 1.12297 1.12043
14.4375 1.10709 1.12002 1.12256 1.11832
14.5125 1.10706 1.11835 1.12028  1.116
14.5875 1.10628 1.11601  1.1183 1.11352
14.6625 1.10533  1.1132 1.11477 1.11091
14.7375 1.10428 1.10945 1.11164 1.10936
14.8125 1.10347 1.10711 1.10823 1.10733
14.8875 1.10189 1.10332 1.10459 1.10532
14.9625 1.10074 1.10102 1.10087 1.10409
