          GO-O  GO-O-SV GO-O-DV GO-O-SW
10.0875 0.96335 0.97676 0.96651 0.95537
10.1625 0.96799 0.97986 0.97161 0.95941
10.2375 0.97186 0.98122 0.97353 0.96483
10.3125 0.97841 0.98271 0.97622 0.96959
10.3875 0.98426 0.98658 0.97932 0.97349
10.4625 0.99127 0.99169 0.98345 0.97908
10.5375 0.99872 0.99789 0.98715 0.98532
10.6125 1.00617 1.00467 0.99362 0.99121
10.6875 1.01378 1.00975 1.00017 0.99832
10.7625 1.02094 1.01569 1.00814  1.007
10.8375 1.02763 1.02045 1.01624 1.01427
10.9125 1.03437  1.0237 1.02487 1.02283
10.9875 1.04004 1.02666 1.03327 1.03059
11.0625 1.04569 1.03126 1.04096 1.03949
11.1375 1.05084 1.03536 1.04871 1.04689
11.2125 1.05431 1.04013  1.055  1.05558
11.2875 1.05725 1.04605 1.05992 1.06494
11.3625 1.06035  1.0515 1.06337 1.07263
11.4375 1.06322 1.05588 1.06408 1.07963
11.5125 1.06547 1.05929 1.06219 1.08237
11.5875 1.06703 1.06247 1.06101 1.08458
11.6625 1.06874 1.06533  1.0583 1.08331
11.7375 1.06959  1.0662 1.05518 1.08144
11.8125 1.07003 1.06795 1.05556 1.07779
11.8875 1.07003 1.06749 1.05548 1.07409
11.9625 1.06937 1.06696  1.057  1.06964
12.0375 1.06946 1.06574 1.05849 1.06541
12.1125 1.06948 1.06304 1.06069 1.06239
12.1875 1.06988 1.06222 1.06143 1.06055
12.2625 1.07014 1.06189 1.06181 1.06051
12.3375 1.06868  1.0613  1.0618 1.06048
12.4125  1.0671 1.06277 1.06213 1.06128
12.4875 1.06578 1.06411 1.06411 1.06227
12.5625 1.06445 1.06552  1.0666  1.0633
12.6375 1.06479 1.06649 1.06977 1.06571
12.7125 1.06572 1.06659  1.074  1.06836
12.7875 1.06801 1.06812 1.07655 1.07139
12.8625 1.07128 1.07002 1.08046 1.07344
12.9375 1.07488 1.07291 1.08341  1.0767
13.0125 1.07744 1.07597 1.08752  1.0789
13.0875 1.08098 1.08112 1.09173 1.08102
13.1625  1.0839  1.0857 1.09476 1.08411
13.2375 1.08662 1.09182 1.09721 1.08752
13.3125 1.09011  1.0987 1.10106 1.09202
13.3875 1.09389 1.10351 1.10371 1.09648
13.4625 1.09765  1.1086 1.10818 1.10137
13.5375 1.10245 1.11182 1.11316 1.10688
13.6125  1.1071 1.11316 1.11691 1.11115
13.6875 1.11288 1.11559 1.12094  1.1162
13.7625 1.11604 1.11739 1.12259 1.12134
13.8375 1.11984 1.11815 1.12452 1.12515
13.9125 1.12148 1.12035 1.12487 1.12864
13.9875 1.12211 1.12059 1.12504 1.13096
14.0625 1.12184 1.12102 1.12609 1.13192
14.1375 1.12087 1.12212 1.12626 1.13243
14.2125 1.12042 1.12173 1.12675 1.13091
14.2875 1.11933 1.12075  1.1253 1.13003
14.3625  1.1183  1.1201 1.12253  1.1287
14.4375 1.11687 1.11797 1.11893 1.12766
14.5125 1.11496 1.11601  1.1145 1.12669
14.5875 1.11336 1.11336  1.1104 1.12495
14.6625 1.11099 1.11082 1.10556 1.12244
14.7375  1.1084 1.10724  1.1019 1.11869
14.8125 1.10638 1.10459 1.09816 1.11483
14.8875 1.10356 1.10256 1.09463   1.11
14.9625 1.10089 1.09976 1.09074 1.10486
