        GO-COOH GO-COOH-SV GO-COOH-DV GO-COOH-SW
10.0125 0.71859 0.75384 0.70976 0.73684
10.0875 0.72389 0.75271 0.71735 0.73745
10.1625 0.72784 0.74878 0.72502 0.73263
10.2375 0.73255  0.742  0.73058 0.72757
10.3125 0.73574 0.73597 0.73755 0.71998
10.3875 0.74393 0.73604 0.74816 0.71732
10.4625 0.75096  0.7354 0.75533 0.71589
10.5375 0.75704 0.73601 0.76405 0.71582
10.6125 0.75971 0.73812 0.77159  0.7157
10.6875 0.75854 0.73911 0.77398 0.71699
10.7625  0.7539 0.74096 0.77786 0.72145
10.8375  0.7488 0.74734  0.7786 0.72672
10.9125  0.7443 0.75172 0.77654 0.73958
10.9875 0.73647 0.75443 0.76907 0.75425
11.0625 0.73404 0.75913 0.75974 0.76783
11.1375 0.72885 0.76169 0.75093 0.77944
11.2125 0.72539 0.75749 0.74439  0.7876
11.2875 0.72266 0.75638 0.73947 0.79098
11.3625 0.72061 0.75259  0.7384 0.79164
11.4375 0.72138 0.75312 0.73651 0.79208
11.5125 0.72158 0.75396 0.73697  0.7907
11.5875 0.72844 0.75572 0.74142  0.7856
11.6625 0.73654 0.75926 0.74757 0.78078
11.7375 0.74337 0.76228 0.75498 0.77726
11.8125 0.75258  0.7636  0.7691 0.77454
11.8875 0.75909 0.76532 0.78116 0.77595
11.9625  0.7671 0.76412 0.79201 0.77794
12.0375 0.76964  0.766  0.80269 0.78607
12.1125 0.77081 0.76733 0.81028 0.79078
12.1875 0.77263 0.77102 0.81033 0.79727
12.2625 0.77571 0.77432 0.81278 0.79824
12.3375 0.78217 0.77309 0.81411 0.80192
12.4125 0.78854 0.77002 0.81607 0.80277
12.4875  0.8014 0.76321 0.81346 0.80527
12.5625 0.81636 0.76237 0.81629 0.80887
12.6375 0.82657 0.76049 0.81842 0.80977
12.7125 0.83704 0.76399 0.81725  0.8066
12.7875 0.84271 0.76924 0.81981  0.8067
12.8625 0.84483 0.77711 0.81951 0.80575
12.9375 0.84382 0.78794 0.82115 0.80716
13.0125  0.8436 0.79836 0.82019  0.8067
13.0875 0.84201 0.81157 0.81847 0.80798
13.1625 0.84102  0.8228 0.81317 0.80482
13.2375 0.84084 0.83305 0.80602 0.80501
13.3125  0.8389 0.84151 0.79952 0.80216
13.3875 0.83722 0.84606 0.79488  0.8025
13.4625 0.83401 0.84546 0.79289 0.80607
13.5375 0.83047  0.8449 0.79608 0.80633
13.6125 0.82721  0.8419  0.7981 0.80876
13.6875 0.82057 0.83917 0.80666 0.80956
13.7625 0.81795 0.83642 0.81407 0.81107
13.8375  0.8158 0.83441 0.82219  0.813
13.9125 0.81592 0.83511 0.83122 0.81547
13.9875  0.8149 0.83538 0.83884 0.81841
14.0625 0.81636 0.83961 0.84633 0.82613
14.1375 0.82059 0.84232 0.85139 0.83438
14.2125 0.82461 0.84629 0.85416 0.84618
14.2875  0.8319  0.8492 0.85547 0.85111
14.3625 0.84157  0.8478 0.85593 0.85323
14.4375  0.8508 0.84558 0.85522  0.8538
14.5125 0.86007 0.84406 0.85572 0.84889
14.5875 0.86602 0.84209  0.8526 0.84693
14.6625 0.87038 0.84377 0.85403 0.84569
14.7375 0.87085 0.84682  0.854  0.84274
14.8125 0.86792 0.84962 0.85491 0.84485
14.8875 0.86603 0.85117 0.85712 0.84613
14.9625 0.86405 0.85063 0.86025 0.85298
