   fs      Gr     GO-O   GO-OH  GO-COOH
  6650  0.11729 0.09129  0.0614 0.05311
  6700  0.11737 0.09131 0.06144 0.05312
  6750  0.11744 0.09133 0.06148 0.05313
  6800  0.11752 0.09136 0.06151 0.05314
  6850   0.1176 0.09138 0.06155 0.05315
  6900  0.11768 0.09141 0.06159 0.05316
  6950  0.11776 0.09143 0.06162 0.05317
  7000  0.11784 0.09145 0.06166 0.05318
  7050  0.11792 0.09148  0.0617 0.05319
  7100   0.118   0.0915 0.06174  0.0532
  7150  0.11807 0.09153 0.06177 0.05321
  7200  0.11815 0.09155 0.06181 0.05322
  7250  0.11823 0.09157 0.06185 0.05323
  7300  0.11831  0.0916 0.06188 0.05324
  7350  0.11839 0.09162 0.06192 0.05325
  7400  0.11846 0.09165 0.06196 0.05326
  7450  0.11854 0.09167 0.06199 0.05327
  7500  0.11862 0.09169 0.06203 0.05328
  7550   0.1187 0.09172 0.06207 0.05329
  7600  0.11877 0.09174  0.0621  0.0533
  7650  0.11885 0.09177 0.06214 0.05331
  7700  0.11893 0.09179 0.06218 0.05332
  7750  0.11901 0.09181 0.06221 0.05333
  7800  0.11908 0.09184 0.06225 0.05334
  7850  0.11916 0.09186 0.06229 0.05335
  7900  0.11924 0.09189 0.06232 0.05336
  7950  0.11931 0.09191 0.06236 0.05337
  8000  0.11939 0.09193  0.0624 0.05338
  8050  0.11947 0.09196 0.06243 0.05339
  8100  0.11955 0.09198 0.06247  0.0534
  8150  0.11962 0.09201  0.0625 0.05341
  8200   0.1197 0.09203 0.06254 0.05342
  8250  0.11977 0.09205 0.06258 0.05343
  8300  0.11985 0.09208 0.06261 0.05344
  8350  0.11993  0.0921 0.06265 0.05345
  8400    0.12  0.09213 0.06268 0.05346
  8450  0.12008 0.09215 0.06272 0.05347
  8500  0.12016 0.09217 0.06276 0.05348
  8550  0.12023  0.0922 0.06279 0.05349
  8600  0.12031 0.09222 0.06283  0.0535
  8650  0.12038 0.09225 0.06286 0.05351
  8700  0.12046 0.09227  0.0629 0.05352
  8750  0.12053 0.09229 0.06294 0.05352
  8800  0.12061 0.09232 0.06297 0.05353
  8850  0.12069 0.09234 0.06301 0.05354
  8900  0.12076 0.09237 0.06304 0.05355
  8950  0.12084 0.09239 0.06308 0.05356
  9000  0.12091 0.09241 0.06311 0.05357
  9050  0.12099 0.09244 0.06315 0.05358
  9100  0.12106 0.09246 0.06318 0.05359
  9150  0.12114 0.09249 0.06322  0.0536
  9200  0.12121 0.09251 0.06325 0.05361
  9250  0.12129 0.09253 0.06329 0.05362
  9300  0.12136 0.09256 0.06332 0.05363
  9350  0.12144 0.09258 0.06336 0.05364
  9400  0.12151 0.09261  0.0634 0.05365
  9450  0.12158 0.09263 0.06343 0.05366
  9500  0.12166 0.09265 0.06347 0.05367
  9550  0.12173 0.09268  0.0635 0.05368
  9600  0.12181  0.0927 0.06354 0.05369
  9650  0.12188 0.09272 0.06357  0.0537
  9700  0.12196 0.09275  0.0636 0.05371
  9750  0.12203 0.09277 0.06364 0.05372
  9800   0.1221  0.0928 0.06367 0.05373
